# Core: D0=149.999 I3=6.49394 S=23.0983 F'(D0)=0.000129932
# FixedPoint ~ 149.999  |x*-D0|=0
# CMB: Cn=1 Cs=0.418877 pH@t=100=1.43304
# Market: eff=0.785004
# SNR=12.6491 quality=1
# Fused=0.989933 conf=0.9
# PID out=0.364161
# vol=0.014004 ROI=0.0196078 risk=0.32
# consensus=0.989933 validation=0.78 health=0.825
# corr=0.996419 procRate=500 errRate=0.003
# t,psi,gamma,Ec
1.22,1.92703,0.561108,-0.0882114
1.23,1.93315,0.565734,-0.0906515
1.24,1.93922,0.570358,-0.0931345
1.25,1.94525,0.574979,-0.0956607
1.26,1.95123,0.579598,-0.0982305
1.27,1.95717,0.584213,-0.100844
1.28,1.96307,0.588826,-0.103502
1.29,1.96892,0.593437,-0.106204
1.3,1.97473,0.598044,-0.10895
1.31,1.98049,0.602648,-0.111742
1.32,1.9862,0.60725,-0.114578
1.33,1.99187,0.611848,-0.117461
1.34,1.99749,0.616443,-0.120388
1.35,2.00307,0.621035,-0.123362
1.36,2.0086,0.625625,-0.126383
1.37,2.01409,0.630211,-0.129449
1.38,2.01953,0.634793,-0.132563
1.39,2.02492,0.639373,-0.135723
1.4,2.03027,0.643949,-0.138931
1.41,2.03557,0.648522,-0.142187
1.42,2.04082,0.653092,-0.14549
1.43,2.04603,0.657658,-0.148841
1.44,2.05119,0.662221,-0.15224
1.45,2.0563,0.666781,-0.155688
1.46,2.06137,0.671337,-0.159185
1.47,2.06639,0.67589,-0.162731
1.48,2.07136,0.680439,-0.166325
1.49,2.07629,0.684984,-0.16997
1.5,2.08117,0.689526,-0.173664
1.51,2.086,0.694065,-0.177407
1.52,2.09078,0.698599,-0.181201
1.53,2.09552,0.703131,-0.185045
1.54,2.10021,0.707658,-0.18894
1.55,2.10486,0.712182,-0.192885
1.56,2.10946,0.716702,-0.196882
1.57,2.11401,0.721218,-0.200929
1.58,2.11851,0.725731,-0.205028
1.59,2.12297,0.730239,-0.209178
1.6,2.12738,0.734744,-0.21338
1.61,2.13175,0.739245,-0.217634
1.62,2.13607,0.743742,-0.22194
1.63,2.14034,0.748236,-0.226298
1.64,2.14457,0.752725,-0.230709
1.65,2.14875,0.757211,-0.235172
1.66,2.15289,0.761692,-0.239688
1.67,2.15698,0.76617,-0.244258
1.68,2.16103,0.770644,-0.24888
1.69,2.16503,0.775113,-0.253556
1.7,2.16898,0.779579,-0.258285
1.71,2.1729,0.784041,-0.263068
1.72,2.17676,0.788498,-0.267905
1.73,2.18059,0.792952,-0.272795
1.74,2.18436,0.797401,-0.27774
1.75,2.1881,0.801847,-0.28274
1.76,2.19179,0.806288,-0.287793
1.77,2.19544,0.810725,-0.292902
1.78,2.19904,0.815158,-0.298065
1.79,2.2026,0.819587,-0.303283
1.8,2.20612,0.824012,-0.308556
1.81,2.2096,0.828432,-0.313885
1.82,2.21304,0.832849,-0.319269
1.83,2.21643,0.837261,-0.324708
1.84,2.21978,0.841669,-0.330203
1.85,2.22309,0.846073,-0.335754
1.86,2.22636,0.850472,-0.34136
1.87,2.22959,0.854868,-0.347023
1.88,2.23278,0.859259,-0.352742
1.89,2.23594,0.863646,-0.358517
1.9,2.23905,0.868028,-0.364349
1.91,2.24212,0.872406,-0.370237
1.92,2.24515,0.87678,-0.376182
1.93,2.24815,0.88115,-0.382183
1.94,2.25111,0.885515,-0.388242
1.95,2.25403,0.889876,-0.394358
1.96,2.25691,0.894233,-0.40053
1.97,2.25976,0.898586,-0.40676
1.98,2.26257,0.902934,-0.413048
1.99,2.26535,0.907277,-0.419393
2,2.26809,0.911617,-0.425796
2.01,2.2708,0.915952,-0.432256
2.02,2.27347,0.920283,-0.438774
2.03,2.27611,0.924609,-0.44535
2.04,2.27871,0.928931,-0.451984
2.05,2.28128,0.933248,-0.458677
2.06,2.28382,0.937561,-0.465427
2.07,2.28633,0.94187,-0.472236
2.08,2.28881,0.946175,-0.479104
2.09,2.29125,0.950475,-0.48603
2.1,2.29367,0.95477,-0.493014
2.11,2.29605,0.959061,-0.500058
2.12,2.29841,0.963348,-0.50716
2.13,2.30074,0.96763,-0.514321
2.14,2.30303,0.971908,-0.521542
2.15,2.30531,0.976182,-0.528821
2.16,2.30755,0.980451,-0.53616
2.17,2.30977,0.984716,-0.543558
2.18,2.31196,0.988976,-0.551016
2.19,2.31413,0.993231,-0.558533
2.2,2.31627,0.997483,-0.56611
2.21,2.31839,1.00173,-0.573747
2.22,2.32048,1.00597,-0.581443
2.23,2.32255,1.01021,-0.5892
2.24,2.3246,1.01444,-0.597016
2.25,2.32663,1.01867,-0.604893
2.26,2.32864,1.0229,-0.612829
2.27,2.33062,1.02712,-0.620827
2.28,2.33259,1.03133,-0.628884
2.29,2.33454,1.03554,-0.637002
2.3,2.33647,1.03975,-0.645181
2.31,2.33838,1.04395,-0.65342
2.32,2.34027,1.04815,-0.66172
2.33,2.34215,1.05235,-0.670081
2.34,2.34401,1.05653,-0.678503
2.35,2.34585,1.06072,-0.686987
2.36,2.34768,1.0649,-0.695531
2.37,2.3495,1.06908,-0.704137
2.38,2.35131,1.07325,-0.712804
2.39,2.3531,1.07741,-0.721532
2.4,2.35488,1.08158,-0.730322
2.41,2.35665,1.08573,-0.739174
2.42,2.35841,1.08989,-0.748088
2.43,2.36015,1.09404,-0.757063
2.44,2.36189,1.09818,-0.766101
2.45,2.36363,1.10232,-0.7752
2.46,2.36535,1.10646,-0.784362
2.47,2.36707,1.11059,-0.793586
2.48,2.36878,1.11472,-0.802873
2.49,2.37049,1.11884,-0.812222
2.5,2.37219,1.12296,-0.821634
2.51,2.37389,1.12707,-0.831109
2.52,2.37558,1.13118,-0.840646
2.53,2.37728,1.13528,-0.850247
2.54,2.37897,1.13939,-0.85991
2.55,2.38066,1.14348,-0.869637
2.56,2.38235,1.14757,-0.879427
2.57,2.38404,1.15166,-0.889281
2.58,2.38574,1.15574,-0.899198
2.59,2.38743,1.15982,-0.90918
2.6,2.38913,1.1639,-0.919224
2.61,2.39083,1.16797,-0.929333
2.62,2.39254,1.17203,-0.939507
2.63,2.39425,1.17609,-0.949744
2.64,2.39597,1.18015,-0.960046
2.65,2.3977,1.1842,-0.970412
2.66,2.39943,1.18825,-0.980843
2.67,2.40118,1.19229,-0.991339
2.68,2.40293,1.19633,-1.0019
2.69,2.40469,1.20037,-1.01253
2.7,2.40647,1.2044,-1.02322
2.71,2.40825,1.20842,-1.03397
2.72,2.41005,1.21245,-1.0448
2.73,2.41187,1.21646,-1.05568
2.74,2.41369,1.22048,-1.06664
2.75,2.41553,1.22449,-1.07766
2.76,2.41739,1.22849,-1.08874
2.77,2.41927,1.23249,-1.0999
2.78,2.42116,1.23649,-1.11112
2.79,2.42307,1.24048,-1.1224
2.8,2.425,1.24447,-1.13376
2.81,2.42695,1.24845,-1.14518
2.82,2.42892,1.25243,-1.15666
2.83,2.43091,1.2564,-1.16822
2.84,2.43293,1.26038,-1.17984
2.85,2.43497,1.26434,-1.19153
2.86,2.43703,1.2683,-1.20329
2.87,2.43912,1.27226,-1.21512
2.88,2.44123,1.27622,-1.22701
2.89,2.44337,1.28017,-1.23898
2.9,2.44554,1.28411,-1.25101
2.91,2.44774,1.28805,-1.26311
2.92,2.44997,1.29199,-1.27529
2.93,2.45222,1.29592,-1.28753
2.94,2.45451,1.29985,-1.29984
2.95,2.45683,1.30378,-1.31222
2.96,2.45918,1.3077,-1.32467
2.97,2.46156,1.31161,-1.33719
2.98,2.46398,1.31552,-1.34978
2.99,2.46644,1.31943,-1.36245
3,2.46893,1.32334,-1.37518
3.01,2.47145,1.32724,-1.38799
3.02,2.47402,1.33113,-1.40087
3.03,2.47662,1.33502,-1.41382
3.04,2.47926,1.33891,-1.42684
3.05,2.48194,1.34279,-1.43994
3.06,2.48467,1.34667,-1.4531
3.07,2.48743,1.35055,-1.46635
3.08,2.49024,1.35442,-1.47966
3.09,2.49309,1.35829,-1.49305
3.1,2.49598,1.36215,-1.50651
3.11,2.49892,1.36601,-1.52005
3.12,2.5019,1.36987,-1.53366
3.13,2.50493,1.37372,-1.54734
3.14,2.50801,1.37756,-1.5611
3.15,2.51114,1.38141,-1.57494
3.16,2.51431,1.38525,-1.58885
3.17,2.51754,1.38908,-1.60284
3.18,2.52082,1.39291,-1.61691
3.19,2.52414,1.39674,-1.63105
3.2,2.52752,1.40057,-1.64527
3.21,2.53095,1.40439,-1.65956
3.22,2.53444,1.4082,-1.67394
3.23,2.53798,1.41201,-1.68839
3.24,2.54158,1.41582,-1.70292
3.25,2.54523,1.41962,-1.71753
3.26,2.54894,1.42342,-1.73222
3.27,2.5527,1.42722,-1.74699
3.28,2.55653,1.43101,-1.76184
3.29,2.56041,1.4348,-1.77677
3.3,2.56436,1.43859,-1.79178
3.31,2.56836,1.44237,-1.80687
3.32,2.57243,1.44614,-1.82204
3.33,2.57656,1.44992,-1.8373
3.34,2.58075,1.45369,-1.85264
3.35,2.585,1.45745,-1.86806
3.36,2.58932,1.46121,-1.88356
3.37,2.59371,1.46497,-1.89915
3.38,2.59816,1.46873,-1.91482
3.39,2.60267,1.47248,-1.93057
3.4,2.60726,1.47622,-1.94641
3.41,2.61191,1.47997,-1.96234
3.42,2.61663,1.48371,-1.97835
3.43,2.62142,1.48744,-1.99445
3.44,2.62628,1.49117,-2.01064
3.45,2.63122,1.4949,-2.02691
3.46,2.63622,1.49862,-2.04327
3.47,2.6413,1.50234,-2.05972
3.48,2.64644,1.50606,-2.07625
3.49,2.65167,1.50977,-2.09288
3.5,2.65696,1.51348,-2.10959
3.51,2.66234,1.51719,-2.1264
3.52,2.66778,1.52089,-2.14329
3.53,2.67331,1.52459,-2.16028
3.54,2.67891,1.52828,-2.17736
3.55,2.68459,1.53198,-2.19453
3.56,2.69035,1.53566,-2.21179
3.57,2.69618,1.53935,-2.22915
3.58,2.7021,1.54303,-2.2466
3.59,2.70809,1.5467,-2.26415
3.6,2.71417,1.55037,-2.28179
3.61,2.72033,1.55404,-2.29952
3.62,2.72657,1.55771,-2.31735
3.63,2.73289,1.56137,-2.33528
3.64,2.7393,1.56503,-2.3533
3.65,2.74579,1.56868,-2.37142
3.66,2.75236,1.57233,-2.38964
3.67,2.75902,1.57598,-2.40796
3.68,2.76576,1.57963,-2.42638
3.69,2.77259,1.58327,-2.4449
3.7,2.77951,1.5869,-2.46352
3.71,2.78652,1.59053,-2.48224
3.72,2.79361,1.59416,-2.50106
3.73,2.80079,1.59779,-2.51998
3.74,2.80806,1.60141,-2.53901
3.75,2.81542,1.60503,-2.55814
3.76,2.82287,1.60864,-2.57738
3.77,2.83041,1.61226,-2.59672
3.78,2.83804,1.61586,-2.61616
3.79,2.84576,1.61947,-2.63571
3.8,2.85357,1.62307,-2.65537
3.81,2.86148,1.62667,-2.67514
3.82,2.86947,1.63026,-2.69501
3.83,2.87757,1.63385,-2.71499
3.84,2.88575,1.63744,-2.73508
3.85,2.89403,1.64102,-2.75529
3.86,2.9024,1.6446,-2.7756
3.87,2.91087,1.64817,-2.79602
3.88,2.91944,1.65175,-2.81656
3.89,2.9281,1.65531,-2.83721
3.9,2.93685,1.65888,-2.85797
3.91,2.94571,1.66244,-2.87885
3.92,2.95466,1.666,-2.89984
3.93,2.96371,1.66955,-2.92095
3.94,2.97285,1.6731,-2.94218
3.95,2.98209,1.67665,-2.96352
3.96,2.99144,1.68019,-2.98498
3.97,3.00088,1.68373,-3.00656
3.98,3.01042,1.68727,-3.02825
3.99,3.02006,1.6908,-3.05007
4,3.0298,1.69433,-3.07201
4.01,3.03964,1.69786,-3.09407
4.02,3.04958,1.70138,-3.11626
4.03,3.05962,1.7049,-3.13856
4.04,3.06976,1.70842,-3.16099
4.05,3.08001,1.71193,-3.18355
4.06,3.09035,1.71544,-3.20623
4.07,3.1008,1.71894,-3.22903
4.08,3.11135,1.72244,-3.25197
4.09,3.122,1.72594,-3.27503
4.1,3.13276,1.72943,-3.29822
4.11,3.14362,1.73292,-3.32154
4.12,3.15458,1.73641,-3.34499
4.13,3.16564,1.73989,-3.36857
4.14,3.17681,1.74337,-3.39228
4.15,3.18808,1.74685,-3.41613
4.16,3.19946,1.75032,-3.44011
4.17,3.21094,1.75379,-3.46422
4.18,3.22252,1.75725,-3.48847
4.19,3.23421,1.76072,-3.51285
4.2,3.246,1.76417,-3.53737
4.21,3.2579,1.76763,-3.56203
4.22,3.2699,1.77108,-3.58683
4.23,3.28201,1.77453,-3.61177
4.24,3.29422,1.77797,-3.63684
4.25,3.30654,1.78141,-3.66206
4.26,3.31897,1.78485,-3.68742
4.27,3.33149,1.78828,-3.71292
4.28,3.34413,1.79171,-3.73857
4.29,3.35687,1.79514,-3.76436
4.3,3.36971,1.79856,-3.7903
4.31,3.38266,1.80198,-3.81638
4.32,3.39572,1.80539,-3.84261
4.33,3.40888,1.8088,-3.86899
4.34,3.42215,1.81221,-3.89552
4.35,3.43552,1.81562,-3.92219
4.36,3.449,1.81902,-3.94902
4.37,3.46259,1.82241,-3.976
4.38,3.47628,1.82581,-4.00313
4.39,3.49008,1.8292,-4.03042
4.4,3.50398,1.83258,-4.05785
4.41,3.51799,1.83597,-4.08545
4.42,3.5321,1.83934,-4.1132
4.43,3.54632,1.84272,-4.14111
4.44,3.56064,1.84609,-4.16917
4.45,3.57507,1.84946,-4.1974
4.46,3.58961,1.85282,-4.22578
4.47,3.60425,1.85619,-4.25433
4.48,3.61899,1.85954,-4.28303
4.49,3.63384,1.8629,-4.3119
4.5,3.6488,1.86625,-4.34094
4.51,3.66386,1.86959,-4.37013
4.52,3.67902,1.87293,-4.3995
4.53,3.69429,1.87627,-4.42903
4.54,3.70966,1.87961,-4.45872
4.55,3.72514,1.88294,-4.48859
4.56,3.74072,1.88627,-4.51862
4.57,3.7564,1.88959,-4.54882
4.58,3.77219,1.89292,-4.5792
4.59,3.78808,1.89623,-4.60975
4.6,3.80407,1.89955,-4.64047
4.61,3.82017,1.90286,-4.67136
4.62,3.83637,1.90616,-4.70243
4.63,3.85267,1.90947,-4.73367
4.64,3.86907,1.91276,-4.76509
4.65,3.88557,1.91606,-4.79669
4.66,3.90218,1.91935,-4.82847
4.67,3.91888,1.92264,-4.86043
4.68,3.93569,1.92593,-4.89256
4.69,3.9526,1.92921,-4.92488
4.7,3.96961,1.93248,-4.95738
4.71,3.98672,1.93576,-4.99007
4.72,4.00392,1.93903,-5.02294
4.73,4.02123,1.94229,-5.05599
4.74,4.03864,1.94556,-5.08923
4.75,4.05614,1.94882,-5.12266
4.76,4.07374,1.95207,-5.15628
4.77,4.09144,1.95532,-5.19008
4.78,4.10924,1.95857,-5.22408
4.79,4.12713,1.96182,-5.25827
4.8,4.14512,1.96506,-5.29264
4.81,4.16321,1.96829,-5.32722
4.82,4.18139,1.97153,-5.36198
4.83,4.19967,1.97476,-5.39694
4.84,4.21804,1.97799,-5.4321
4.85,4.23651,1.98121,-5.46746
4.86,4.25507,1.98443,-5.50301
4.87,4.27372,1.98764,-5.53876
4.88,4.29247,1.99086,-5.57471
4.89,4.31131,1.99406,-5.61086
4.9,4.33024,1.99727,-5.64721
4.91,4.34927,2.00047,-5.68377
4.92,4.36838,2.00367,-5.72053
4.93,4.38758,2.00686,-5.75749
4.94,4.40688,2.01005,-5.79466
4.95,4.42626,2.01324,-5.83204
4.96,4.44573,2.01642,-5.86962
4.97,4.4653,2.0196,-5.90741
4.98,4.48494,2.02278,-5.94541
4.99,4.50468,2.02595,-5.98363
5,4.5245,2.02912,-6.02205
