mu,alpha,beta,threshold_percentile,threshold_value,precision,recall,f1_score,accuracy,tp,fp,fn,tn,max_state,mean_anomaly,max_anomaly
0.14,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,149.9992314,2.2360302765560425,22.039488065603784
0.14200000000000002,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,149.9992314,2.2360302765560425,22.039488065603784
0.14400000000000002,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,149.9992314,2.2360302765560425,22.039488065603784
0.14600000000000002,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,149.9992314,2.2360302765560425,22.039488065603784
0.14800000000000002,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,149.9992314,2.2360302765560425,22.039488065603784
0.15000000000000002,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,149.9992314,2.2360302765560425,22.039488065603784
0.15200000000000002,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,149.9992314,2.2360302765560425,22.039488065603784
0.15400000000000003,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,149.9992314,2.2360302765560425,22.039488065603784
0.15600000000000003,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,149.9992314,2.2360302765560425,22.039488065603784
0.15800000000000003,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,149.9992314,2.2360302765560425,22.039488065603784
0.16,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,149.14675708013883,2.2360302765560425,22.039488065603784
