"# Primal Logic Kernel Test: MU=0.10000000, KE=0.80"
"# Core: D0=140.0000000000, I3=6.4939394023, S=23.0983417165, F'(D0)=0.000129931830"
# Generated: 2025-11-26T06:07:53.830520
"# dt=0.01, t_end=5.0, n_steps=501"
# Control law: dψ/dt = -μ·ψ(t) + KE·e(t)

t,psi,gamma,Ec
0.0,1.0,0.004,0.0
0.01,0.999032,0.00398,3.9761473600000005e-05
0.02,0.9980648080000001,0.0039601,7.928583806160801e-05
0.03,0.9970984239920001,0.0039402995,0.00011857450227667268
0.04,0.9961328479640081,0.0039205980025,0.00015762886681619596
0.05,0.9951680799000642,0.0039009950124875,0.00019645032397896508
0.06,0.994204119780264,0.0038814900374250626,0.00023504025783990557
0.07,0.9932409675807832,0.0038620825872379373,0.0002734000442981566
0.08,0.9922786232739003,0.0038427721743017475,0.0003115310511248705
0.09,0.9913170868280208,0.0038235583134302387,0.00034943463801073775
0.1,0.9903563582077002,0.0038044405218630875,0.00038711215661323904
0.11,0.9893964373736673,0.0037854183192537723,0.00042456495060362603
0.12,0.9884373242828477,0.0037664912276575034,0.000461794355713632
0.13,0.9874790188883861,0.0037476587715192158,0.0004988016997819145
0.14,0.9865215211396698,0.0037289204776616196,0.0005355883028002306
0.15,0.9855648309823515,0.0037102758752733116,0.000572155476959347
0.16,0.9846089483583713,0.003691724495896945,0.0006085045266946863
0.17,0.9836538732059801,0.00367326587341746,0.0006446367487317106
0.18,0.9826996054597614,0.003654899544050373,0.0006805534321310442
0.19,0.981746145050654,0.0036366250463301213,0.0007162558583333368
0.2,0.9807934919059741,0.0036184419210984705,0.0007517453012038681
0.21,0.9798416459494369,0.0036003497114929783,0.0007870230270768967
0.22,0.9788906071011794,0.0035823479629355135,0.0008220902947997529
0.23,0.9779403752777817,0.003564436223120836,0.000856948355776678
0.24,0.9769909503922889,0.0035466140420052318,0.0008915984540124113
0.25,0.9760423323542327,0.003528880971795206,0.0009260418261555259
0.26,0.9750945210696528,0.0035112365669362298,0.0009602797015415153
0.27,0.9741475164411186,0.0034936803841015486,0.000994313302235631
0.28,0.9732013183677504,0.003476211982181041,0.0010281438430754745
0.29,0.9722559267452401,0.0034588309222701357,0.001061772531713343
0.3,0.9713113414658731,0.003441536767658785,0.0010952005686583307
0.31,0.9703675624185485,0.0034243290838204907,0.001128429147318189
