"# Primal Logic Kernel Test: MU=0.12000000, KE=0.30"
"# Core: D0=160.0000000000, I3=6.4939394023, S=23.0983417165, F'(D0)=0.000129931830"
# Generated: 2025-11-26T06:07:53.902731
"# dt=0.01, t_end=5.0, n_steps=501"
# Control law: dψ/dt = -μ·ψ(t) + KE·e(t)

t,psi,gamma,Ec
0.0,1.0,0.004,0.0
0.01,0.998812,0.00398,3.9752717600000006e-05
0.02,0.9976253656,0.0039601,7.92596797031256e-05
0.03,0.99644009546128,0.0039402995,0.00011852240380238595
0.04,0.9952561882452264,0.0039205980025,0.00015754239803848595
0.05,0.9940736426133396,0.0039009950124875,0.00019632116125728515
0.06,0.9928924572272411,0.0038814900374250626,0.00023486018306690542
0.07,0.9917126307486807,0.0038620825872379373,0.00027316094389448947
0.08,0.9905341618395439,0.0038427721743017475,0.0003112249150426125
0.09,0.9893570491618594,0.0038235583134302387,0.00034905355874534886
0.1,0.9881812913778054,0.0038044405218630875,0.00038664832822399607
0.11,0.9870068871497176,0.0037854183192537723,0.0004240106677424579
0.12,0.9858338351400957,0.0037664912276575034,0.00046114201266228913
0.13,0.9846621340116105,0.0037476587715192158,0.0004980437894974035
0.14,0.9834917824271111,0.0037289204776616196,0.0005347174159684474
0.15,0.9823227790496316,0.0037102758752733116,0.0005711643010568402
0.16,0.9811551225423979,0.003691724495896945,0.0006073858450584856
0.17,0.9799888115688347,0.00367326587341746,0.0006433834396371529
0.18,0.9788238447925723,0.003654899544050373,0.000679158467877533
0.19,0.9776602208774534,0.0036366250463301213,0.0007147123043379688
0.2,0.9764979384875394,0.0036184419210984705,0.0007500463151028644
0.21,0.9753369962871177,0.0036003497114929783,0.0007851618578347719
0.22,0.9741773929407076,0.0035823479629355135,0.0008200602818261616
0.23,0.9730191271130676,0.003564436223120836,0.000854742928050874
0.24,0.9718621974692013,0.0035466140420052318,0.0008892111292152573
0.25,0.9707066026743643,0.003528880971795206,0.0009234662098089926
0.26,0.9695523413940704,0.0035112365669362298,0.0009575094861556076
0.27,0.9683994122940983,0.0034936803841015486,0.0009913422664626812
0.28,0.9672478140404978,0.003476211982181041,0.0010249658508717412
0.29,0.9660975452995957,0.0034588309222701357,0.0010583815315078563
0.3,0.9649486047380029,0.003441536767658785,0.0010915905925289252
0.31,0.9638009910226203,0.0034243290838204907,0.0011245943101746629
0.32,0.9626547028206446,0.0034072074384013883,0.0011573939528152887
0.33,0.961509738799575,0.0033901714012093812,0.001189990780999915
0.34,0.9603660976272191,0.0033732205442033344,0.0012223860475046402
0.35000000000000003,0.9592237779716991,0.003356354441482318,0.0012545809973803477
0.36,0.9580827785014575,0.003339572669274906,0.001286576868000212
0.37,0.9569430978852635,0.0033228748059285318,0.0013183748891069135
0.38,0.9558047347922191,0.003306260431898889,0.0013499762828595647
0.39,0.954667687891764,0.0032897291297393945,0.0013813822638803497
0.4,0.9535319558536831,0.0032732804840906976,0.0014125940393008767
0.41000000000000003,0.952397537348111,0.003256914081670244,0.001443612808808248
0.42,0.9512644310455383,0.0032406295112618927,0.0014744397646908472
0.43,0.9501326356168174,0.0032244263637055833,0.0015050760918838466
0.44,0.9490021497331683,0.0032083042318870555,0.001535522968014435
0.45,0.9478729720661841,0.0031922627107276204,0.0015657815634467695
0.46,0.946745101287837,0.0031763013971739824,0.0015958530413266512
0.47000000000000003,0.9456185360704831,0.0031604198901881123,0.0016257385576259283
0.48,0.9444932750868691,0.0031446177907371716,0.0016554392611866262
0.49,0.943369317010137,0.0031288947017834856,0.0016849562937648074
0.5,0.9422466605138302,0.003113250228274568,0.0017142907900741637
0.51,0.9411253042718984,0.0030976839771331955,0.0017434438778293404
0.52,0.9400052469587036,0.0030821955572475296,0.0017724166777889953
0.53,0.9388864872490249,0.003066784579461292,0.001801210303798594
0.54,0.9377690238180645,0.0030514506565639853,0.001829825862832944
0.55,0.9366528553414525,0.0030361934032811654,0.0018582644550384658
0.56,0.9355379804952526,0.0030210124362647596,0.0018865271737752076
0.5700000000000001,0.9344243979559671,0.0030059073740834356,0.0019146151056586007
0.58,0.9333121064005422,0.0029908778372130184,0.0019425293306009606
0.59,0.9322011045063732,0.0029759234480269533,0.001970270921852732
0.6,0.9310913909513095,0.0029610438307868187,0.0019978409460434826
0.61,0.9299829644136604,0.0029462386116328844,0.0020252404632226458
0.62,0.9288758235721989,0.00293150741857472,0.0020524705269000117
0.63,0.927769967106168,0.0029168498814818463,0.002079532184085972
0.64,0.926665393695285,0.002902265632074437,0.0021064264753315174
0.65,0.9255621020197469,0.0028877543039140647,0.0021331544347679902
0.66,0.9244600907602349,0.0028733155323944944,0.0021597170901465922
0.67,0.9233593585979198,0.002858948954732522,0.002186115462877652
0.68,0.9222599042144666,0.002844654209958859,0.0022123505680696517
0.6900000000000001,0.9211617262920391,0.0028304309389090647,0.0022384234145680104
0.7000000000000001,0.9200648235133053,0.0028162787842145195,0.0022643350049936363
0.71,0.918969194561442,0.002802197390293447,0.0022900863357812377
0.72,0.9178748381201391,0.00278818640334198,0.0023156783972174007
0.73,0.916781752873605,0.00277424547132527,0.0023411121734784332
0.74,0.9156899375065706,0.0027603742439686434,0.002366388642667977
0.75,0.9145993907042946,0.0027465723727488002,0.00239150877685439
0.76,0.9135101111525677,0.0027328395108850564,0.0024164735421078973
0.77,0.9124220975377173,0.0027191753133306313,0.0024412838985375163
0.78,0.911335348546612,0.0027055794367639783,0.002465940800327755
0.79,0.9102498628666664,0.0026920515395801583,0.002490445195775083
0.8,0.9091656391858451,0.0026785912818822577,0.0025147980273241845
0.81,0.9080826761926678,0.0026651983254728463,0.0025390002316039804
0.8200000000000001,0.907000972576213,0.002651872333845482,0.0025630527394634385
0.8300000000000001,0.9059205270261231,0.0026386129721762547,0.0025869564760071574
0.84,0.9048413382326083,0.0026254199073153734,0.002610712360630735
0.85,0.9037634048864511,0.0026122928077787965,0.002634321307055921
0.86,0.9026867256790108,0.0025992313437399025,0.002657784223365549
0.87,0.9016112993022272,0.002586235187021203,0.002681102012038262
0.88,0.9005371244486255,0.0025733040110860967,0.002704275569983018
0.89,0.8994641998113204,0.0025604374910306663,0.002727305788573386
0.9,0.8983925240840199,0.0025476353035755127,0.0027501935536816337
0.91,0.8973220959610299,0.002534897127057635,0.002772939745712603
0.92,0.8962529141372578,0.002522222641422347,0.0027955452396373807
0.93,0.8951849773082173,0.002509611528215235,0.0028180109050267585
0.9400000000000001,0.8941182841700321,0.002497063470574159,0.002840337606084493
0.9500000000000001,0.8930528334194399,0.002484578153221288,0.0028625262016803562
0.96,0.8919886237537962,0.0024721552624551815,0.002884577545382987
0.97,0.890925653871079,0.0024597944861429054,0.002906492485492541
0.98,0.8898639224698922,0.002447495513712191,0.0029282718650731347
0.99,0.8888034282494695,0.00243525803614363,0.0029499165219851
1.0,0.8877441699096785,0.0024230817459629118,0.0029714272889170314
1.01,0.8866861461510248,0.0024109663372330974,0.002992804993417642
1.02,0.8856293556746553,0.002398911505546932,0.0030140504579274224
1.03,0.8845737971823623,0.0023869169480191976,0.003035164499810105
1.04,0.8835194693765875,0.0023749823632791016,0.003056147931383936
1.05,0.8824663709604255,0.002363107451462706,0.0030770015599527545
1.06,0.8814145006376274,0.0023512919142053925,0.003097726187836881
1.07,0.8803638571126049,0.0023395354546343655,0.003118322612403817
1.08,0.8793144390904337,0.0023278377773611938,0.003138791626098756
1.09,0.8782662452768573,0.002316198588474388,0.0031591340164749053
1.1,0.8772192743782905,0.002304617595532016,0.0031793505662236258
1.11,0.8761735251018231,0.002293094507554356,0.0031994420532043813
1.12,0.8751289961552235,0.002281629035016584,0.0032194092504745082
1.1300000000000001,0.8740856862469424,0.002270220889841501,0.003239252926318801
1.1400000000000001,0.8730435940861155,0.0022588697853922935,0.003258973844278915
1.1500000000000001,0.8720027183825684,0.002247575436465332,0.0032785727631825918
1.16,0.8709630578468187,0.0022363375592830055,0.0032980504371727
1.17,0.8699246111900804,0.0022251558714865903,0.003317407615736103
1.18,0.8688873771242667,0.0022140300921291572,0.003336645043732346
1.19,0.8678513543619939,0.0022029599416685114,0.003355763461422168
1.2,0.8668165416165845,0.0021919451419601687,0.00337476360449584
1.21,0.8657829376020705,0.002180985416250368,0.003393646204101325
1.22,0.8647505410331967,0.002170080489169116,0.0034124119868722707
1.23,0.8637193506254244,0.0021592300867232703,0.0034310616749558256
1.24,0.862689365094934,0.002148433936289654,0.003449595986040287
1.25,0.8616605831586289,0.0021376917666082055,0.0034680156333825774
1.26,0.8606330035341384,0.0021270033077751644,0.003486321325835553
1.27,0.8596066249398208,0.0021163682912362885,0.0035045137678751457
1.28,0.8585814460947667,0.002105786449780107,0.0035225936596273355
1.29,0.8575574657188023,0.0020952575175312064,0.0035405616968949586
1.3,0.8565346825324923,0.0020847812299435503,0.0035584185711843527
1.31,0.8555130952571431,0.0020743573237938327,0.0035761649697318345
1.32,0.8544927026148059,0.0020639855371748636,0.003593801575530019
1.33,0.8534735033282796,0.0020536656094889893,0.0036113290673539726
1.34,0.8524554961211142,0.0020433972814415443,0.0036287481197872103
1.35,0.8514386797176131,0.0020331802950343367,0.0036460594032475292
1.36,0.850423052842837,0.002023014393559165,0.003663263584012685
1.37,0.8494086142226063,0.0020128993215913693,0.0036803613242459106
1.3800000000000001,0.8483953625835039,0.0020028348249834125,0.0036973532820212774
1.3900000000000001,0.8473832966528786,0.0019928206508584953,0.0037142401113489016
1.4000000000000001,0.8463724151588478,0.0019828565476042027,0.0037310224621999945
1.41,0.8453627168303,0.0019729422648661816,0.0037477009805317605
1.42,0.8443542003968982,0.0019630775535418505,0.0037642763083121397
1.43,0.8433468645890826,0.0019532621657741413,0.003780749083544401
1.44,0.842340708138073,0.0019434958549452706,0.003797119940291581
1.45,0.8413357297758722,0.0019337783756705443,0.0038133895087007767
1.46,0.8403319282352681,0.0019241094837921917,0.0038295584150272854
1.47,0.8393293022498372,0.0019144889363732307,0.003845627281658597
1.48,0.8383278505539464,0.0019049164916913645,0.003861596727138241
1.49,0.8373275718827567,0.0018953919092329077,0.003877467366189483
1.5,0.8363284649722251,0.0018859149496867431,0.00389323980973888
1.51,0.8353305285591075,0.0018764853749383094,0.003908914664939686
1.52,0.8343337613809614,0.0018671029480636179,0.00392449253519512
1.53,0.8333381621761484,0.0018577674333232997,0.003939974020181483
1.54,0.832343729683837,0.0018484785961566832,0.003955359715871141
1.55,0.8313504626440048,0.0018392362031758999,0.0039706502145553605
1.56,0.8303583597974415,0.0018300400221600204,0.003985846104867005
1.57,0.8293674198857511,0.0018208898220492202,0.004000947971803097
1.58,0.8283776416513544,0.001811785372938974,0.0040159563967472325
1.59,0.8273890238374916,0.001802726446074279,0.004030871957491867
1.6,0.8264015651882248,0.0017937128138439077,0.004045695228260455
1.61,0.8254152644484405,0.0017847442497746881,0.004060426779729461
1.62,0.8244301203638517,0.0017758205285258147,0.004075067179050233
1.6300000000000001,0.8234461316810007,0.0017669414258831857,0.004089616989870737
1.6400000000000001,0.8224632971472611,0.0017581067187537698,0.004104076772357167
