"# Primal Logic Kernel Test: MU=0.20000000, KE=0.80"
"# Core: D0=140.0000000000, I3=6.4939394023, S=23.0983417165, F'(D0)=0.000129931830"
# Generated: 2025-11-26T06:07:54.287991
"# dt=0.01, t_end=5.0, n_steps=501"
# Control law: dψ/dt = -μ·ψ(t) + KE·e(t)

t,psi,gamma,Ec
0.0,1.0,0.004,0.0
0.01,0.998032,0.00398,3.97216736e-05
0.02,0.9960677760000001,0.0039601,7.916695359737601e-05
0.03,0.994107321248,0.0039402995,0.00011833775940597435
0.04,0.9921506290015041,0.0039205980025,0.0001572359971483985
0.05,0.9901976925275211,0.0039009950124875,0.00019586355974766343
0.06,0.988248505102566,0.0038814900374250626,0.00023422232701822163
0.07,0.9863030600126603,0.0038620825872379373,0.0002723141657563655
0.08,0.984361350553333,0.0038427721743017475,0.00031014092983000984
0.09,0.9824233700296207,0.0038235583134302387,0.00034770446026785893
0.1,0.9804891117560689,0.0038044405218630875,0.0003850065853479623
0.11,0.9785585690567317,0.0037854183192537723,0.00042204912068566336
0.12,0.9766317352651722,0.0037664912276575034,0.0004588338693209453
0.13,0.9747086037244631,0.0037476587715192158,0.0004953626218051776
0.14,0.9727891677871864,0.0037289204776616196,0.000531637156287268
0.15,0.9708734208154333,0.0037102758752733116,0.0005676592385992238
0.16,0.9689613561808046,0.003691724495896945,0.0006034306223411259
0.17,0.9670529672644101,0.00367326587341746,0.0006389530489655204
0.18,0.9651482474568687,0.003654899544050373,0.0006742282478612317
0.19,0.9632471901583073,0.0036366250463301213,0.0007092579364365998
0.2,0.9613497887783613,0.0036184419210984705,0.0007440438202021476
0.21,0.9594560367361734,0.0036003497114929783,0.0007785875928526804
0.22,0.957565927460393,0.0035823479629355135,0.0008128909363488224
0.23,0.9556794543891758,0.003564436223120836,0.0008469555209979938
0.24,0.9537966109701824,0.0035466140420052318,0.0008807830055348324
0.25,0.9519173906605781,0.003528880971795206,0.0009143750372010629
0.26,0.9500417869270313,0.0035112365669362298,0.0009477332518248192
0.27,0.9481697932457128,0.0034936803841015486,0.0009808592738994209
0.28,0.9463014031022942,0.003476211982181041,0.0010137547166616102
0.29,0.944436609991947,0.0034588309222701357,0.0010464211821692515
0.3,0.9425754074193413,0.003441536767658785,0.0010788602613784977
0.31,0.9407177888986439,0.0034243290838204907,0.001111073534220427
0.32,0.9388637479535171,0.0034072074384013883,0.0011430625696771534
0.33,0.9370132781171173,0.0033901714012093812,0.0011748289258574143
0.34,0.9351663729320928,0.0033732205442033344,0.001206374150071641
0.35000000000000003,0.9333230259505823,0.003356354441482318,0.0012376997789065106
0.36,0.9314832307342129,0.003339572669274906,0.0012688073382989894
0.37,0.9296469808540987,0.0033228748059285318,0.0012996983436098653
0.38,0.9278142698908379,0.003306260431898889,0.0013303742996967776
0.39,0.9259850914345115,0.0032897291297393945,0.0013608367009867426
0.4,0.9241594390846803,0.0032732804840906976,0.0013910870315481836
0.41000000000000003,0.9223373064503837,0.003256914081670244,0.0014211267651624642
0.42,0.9205186871501363,0.0032406295112618927,0.001450957365394932
0.43,0.9187035748119261,0.0032244263637055833,0.0014805802856654735
