filename,mu,ke,d0,max_psi,final_psi,max_Ec,final_Ec,lipschitz,is_stable
run_mu0.10000_ke0.00_d0140.0000.csv,0.1,0.0,140.0,1.0,0.6063789448611849,0.006304173972762685,0.006304173972762685,0.6306964268673705,True
run_mu0.10000_ke0.00_d0145.0000.csv,0.1,0.0,145.0,1.0,0.6063789448611849,0.006304173972762685,0.006304173972762685,0.6306964268673705,True
run_mu0.10000_ke0.00_d0149.9992.csv,0.1,0.0,149.9992314,1.0,0.6063789448611849,0.006304173972762685,0.006304173972762685,0.6306964268673705,True
run_mu0.10000_ke0.00_d0155.0000.csv,0.1,0.0,155.0,1.0,0.6063789448611849,0.006304173972762685,0.006304173972762685,0.6306964268673705,True
run_mu0.10000_ke0.00_d0160.0000.csv,0.1,0.0,160.0,1.0,0.6063789448611849,0.006304173972762685,0.006304173972762685,0.6306964268673705,True
run_mu0.10000_ke0.10_d0140.0000.csv,0.1,0.1,140.0,1.0,0.606903751944605,0.006306534538094806,0.006306534538094806,0.6304628786149623,True
run_mu0.10000_ke0.10_d0145.0000.csv,0.1,0.1,145.0,1.0,0.606903751944605,0.006306534538094806,0.006306534538094806,0.6304628786149623,True
run_mu0.10000_ke0.10_d0149.9992.csv,0.1,0.1,149.9992314,1.0,0.606903751944605,0.006306534538094806,0.006306534538094806,0.6304628786149623,True
run_mu0.10000_ke0.10_d0155.0000.csv,0.1,0.1,155.0,1.0,0.606903751944605,0.006306534538094806,0.006306534538094806,0.6304628786149623,True
run_mu0.10000_ke0.10_d0160.0000.csv,0.1,0.1,160.0,1.0,0.606903751944605,0.006306534538094806,0.006306534538094806,0.6304628786149623,True
run_mu0.10000_ke0.20_d0140.0000.csv,0.1,0.2,140.0,1.0,0.6074285590280266,0.006308895103426953,0.006308895103426953,0.6302295051335371,True
run_mu0.10000_ke0.20_d0145.0000.csv,0.1,0.2,145.0,1.0,0.6074285590280266,0.006308895103426953,0.006308895103426953,0.6302295051335371,True
run_mu0.10000_ke0.20_d0149.9992.csv,0.1,0.2,149.9992314,1.0,0.6074285590280266,0.006308895103426953,0.006308895103426953,0.6302295051335371,True
run_mu0.10000_ke0.20_d0155.0000.csv,0.1,0.2,155.0,1.0,0.6074285590280266,0.006308895103426953,0.006308895103426953,0.6302295051335371,True
run_mu0.10000_ke0.20_d0160.0000.csv,0.1,0.2,160.0,1.0,0.6074285590280266,0.006308895103426953,0.006308895103426953,0.6302295051335371,True
run_mu0.10000_ke0.30_d0140.0000.csv,0.1,0.3,140.0,1.0,0.6079533661114472,0.006311255668759067,0.006311255668759067,0.6299963062269951,True
run_mu0.10000_ke0.30_d0145.0000.csv,0.1,0.3,145.0,1.0,0.6079533661114472,0.006311255668759067,0.006311255668759067,0.6299963062269951,True
run_mu0.10000_ke0.30_d0149.9992.csv,0.1,0.3,149.9992314,1.0,0.6079533661114472,0.006311255668759067,0.006311255668759067,0.6299963062269951,True
run_mu0.10000_ke0.30_d0155.0000.csv,0.1,0.3,155.0,1.0,0.6079533661114472,0.006311255668759067,0.006311255668759067,0.6299963062269951,True
run_mu0.10000_ke0.30_d0160.0000.csv,0.1,0.3,160.0,1.0,0.6079533661114472,0.006311255668759067,0.006311255668759067,0.6299963062269951,True
run_mu0.10000_ke0.40_d0140.0000.csv,0.1,0.4,140.0,1.0,0.6084781731948682,0.006313616234091214,0.006313616234091214,0.6297632816995168,True
run_mu0.10000_ke0.40_d0145.0000.csv,0.1,0.4,145.0,1.0,0.6084781731948682,0.006313616234091214,0.006313616234091214,0.6297632816995168,True
run_mu0.10000_ke0.40_d0149.9992.csv,0.1,0.4,149.9992314,1.0,0.6084781731948682,0.006313616234091214,0.006313616234091214,0.6297632816995168,True
run_mu0.10000_ke0.40_d0155.0000.csv,0.1,0.4,155.0,1.0,0.6084781731948682,0.006313616234091214,0.006313616234091214,0.6297632816995168,True
run_mu0.10000_ke0.40_d0160.0000.csv,0.1,0.4,160.0,1.0,0.6084781731948682,0.006313616234091214,0.006313616234091214,0.6297632816995168,True
run_mu0.10000_ke0.50_d0140.0000.csv,0.1,0.5,140.0,1.0,0.6090029802782901,0.006315976799423334,0.006315976799423334,0.6295304313555883,True
run_mu0.10000_ke0.50_d0145.0000.csv,0.1,0.5,145.0,1.0,0.6090029802782901,0.006315976799423334,0.006315976799423334,0.6295304313555883,True
run_mu0.10000_ke0.50_d0149.9992.csv,0.1,0.5,149.9992314,1.0,0.6090029802782901,0.006315976799423334,0.006315976799423334,0.6295304313555883,True
run_mu0.10000_ke0.50_d0155.0000.csv,0.1,0.5,155.0,1.0,0.6090029802782901,0.006315976799423334,0.006315976799423334,0.6295304313555883,True
run_mu0.10000_ke0.50_d0160.0000.csv,0.1,0.5,160.0,1.0,0.6090029802782901,0.006315976799423334,0.006315976799423334,0.6295304313555883,True
run_mu0.10000_ke0.60_d0140.0000.csv,0.1,0.6,140.0,1.0,0.6095277873617109,0.006318337364755471,0.006318337364755471,0.6292977549999773,True
run_mu0.10000_ke0.60_d0145.0000.csv,0.1,0.6,145.0,1.0,0.6095277873617109,0.006318337364755471,0.006318337364755471,0.6292977549999773,True
run_mu0.10000_ke0.60_d0149.9992.csv,0.1,0.6,149.9992314,1.0,0.6095277873617109,0.006318337364755471,0.006318337364755471,0.6292977549999773,True
run_mu0.10000_ke0.60_d0155.0000.csv,0.1,0.6,155.0,1.0,0.6095277873617109,0.006318337364755471,0.006318337364755471,0.6292977549999773,True
