"# Primal Logic Kernel Test: MU=0.20000000, KE=0.30"
"# Core: D0=160.0000000000, I3=6.4939394023, S=23.0983417165, F'(D0)=0.000129931830"
# Generated: 2025-11-26T06:07:54.242480
"# dt=0.01, t_end=5.0, n_steps=501"
# Control law: dψ/dt = -μ·ψ(t) + KE·e(t)

t,psi,gamma,Ec
0.0,1.0,0.004,0.0
0.01,0.998012,0.00398,3.972087760000001e-05
0.02,0.996027916,0.0039601,7.916457910151601e-05
0.03,0.9940477404679999,0.0039402995,0.00011833303724893791
0.04,0.9920714658855639,0.0039205980025,0.0001572281713238198
0.05,0.9900990847478003,0.0039009950124875,0.00019585188723851587
0.06,0.9881305895633421,0.0038814900374250626,0.00023420607762916654
0.07,0.9861659728543277,0.0038620825872379373,0.0002722926219480391
0.08,0.9842052271563808,0.0038427721743017475,0.0003101133865552278
0.09,0.9822483450185909,0.0038235583134302387,0.0003476702248097171
0.1,0.9802953190034941,0.0038044405218630875,0.00038496497715981304
0.11,0.9783461416870527,0.0037854183192537723,0.0004219994712329472
0.12,0.9764008056586364,0.0037664912276575034,0.00045877552192485693
0.13,0.9744593035210021,0.0037476587715192158,0.0004952949314881468
0.14,0.9725216278902746,0.0037289204776616196,0.0005315594896202353
0.15,0.9705877713959271,0.0037102758752733116,0.0005675709735506913
0.16,0.9686577266807611,0.003691724495896945,0.0006033311481279635
0.17,0.9667314864008872,0.00367326587341746,0.0006388417659055086
0.18,0.9648090432257057,0.003654899544050373,0.0006741045672273217
0.19,0.9628903898378864,0.0036366250463301213,0.000709121280312872
0.2,0.9609755189333496,0.0036184419210984705,0.0007438936213414499
0.21,0.9590644232212463,0.0036003497114929783,0.0007784232945359279
0.22,0.9571570954239382,0.0035823479629355135,0.0008127119922459401
0.23,0.9552535282769792,0.003564436223120836,0.0008467613950304846
0.24,0.9533537145290946,0.0035466140420052318,0.000880573171739952
0.25,0.9514576469421624,0.003528880971795206,0.0009141489795975843
0.26,0.9495653182911935,0.0035112365669362298,0.0009474904642803691
0.27,0.9476767213643119,0.0034936803841015486,0.0009805992599993707
0.28,0.9457918489627356,0.003476211982181041,0.001013476989579505
0.29,0.9439106939007567,0.0034588309222701357,0.0010461252645387591
0.3,0.9420332490057219,0.003441536767658785,0.0010785456851668616
0.31,0.9401595071180134,0.0034243290838204907,0.001110739840603407
0.32,0.9382894610910288,0.0034072074384013883,0.0011427093089154368
0.33,0.936423103791162,0.0033901714012093812,0.001174455657174482
0.34,0.9345604280977833,0.0033732205442033344,0.0012059804415330711
0.35000000000000003,0.9327014269032203,0.003356354441482318,0.0012372852073007064
0.36,0.9308460931127384,0.003339572669274906,0.0012683714890193126
0.37,0.9289944196445207,0.0033228748059285318,0.0012992408105381623
0.38,0.9271463994296494,0.003306260431898889,0.00132989468508828
0.39,0.9253020254120857,0.0032897291297393945,0.00136033461535633
0.4,0.9234612905486508,0.0032732804840906976,0.0013905620935579911
0.41000000000000003,0.9216241878090058,0.003256914081670244,0.0014205786015108217
0.42,0.9197907101756327,0.0032406295112618927,0.0014503856107066185
0.43,0.9179608506438153,0.0032244263637055833,0.0014799845823832737
0.44,0.9161346022216188,0.0032083042318870555,0.0015093769675961315
0.45,0.9143119579298712,0.0031922627107276204,0.0015385642072888504
0.46,0.9124929108021437,0.0031763013971739824,0.0015675477323637726
0.47000000000000003,0.9106774538847309,0.0031604198901881123,0.0015963289637518042
0.48,0.908865580236632,0.0031446177907371716,0.001624909312481812
0.49,0.9070572829295309,0.0031288947017834856,0.0016532901797495353
0.5,0.9052525550477772,0.003113250228274568,0.0016814729569860215
0.51,0.9034513896883665,0.0030976839771331955,0.0017094590259255852
0.52,0.9016537799609211,0.0030821955572475296,0.0017372497586732951
0.53,0.899859718987671,0.003066784579461292,0.0017648465177719929
0.54,0.898069199903434,0.0030514506565639853,0.001792250656268845
0.55,0.8962822158555969,0.0030361934032811654,0.001819463517781435
0.56,0.8944987600040956,0.0030210124362647596,0.001846486436563393
0.5700000000000001,0.8927188255213961,0.0030059073740834356,0.0018733207375695715
0.58,0.8909424055924756,0.0029908778372130184,0.0018999677365207695
0.59,0.8891694934148023,0.0029759234480269533,0.001926428739968003
0.6,0.8874000821983168,0.0029610438307868187,0.0019527050453563336
0.61,0.8856341651654125,0.0029462386116328844,0.0019787979410882495
0.62,0.8838717355509166,0.00293150741857472,0.0020047087065866095
0.63,0.8821127866020705,0.0029168498814818463,0.0020304386123571484
0.64,0.8803573115785108,0.002902265632074437,0.002055988920050546
0.65,0.87860530375225,0.0028877543039140647,0.002081360882524069
0.66,0.8768567564076573,0.0028733155323944944,0.002106555743902781
0.67,0.8751116628414392,0.002858948954732522,0.002131574739640329
0.68,0.8733700163626205,0.002844654209958859,0.0021564190965793063
0.6900000000000001,0.8716318102925251,0.0028304309389090647,0.002181090033011199
0.7000000000000001,0.8698970379647568,0.0028162787842145195,0.002205588758735911
0.71,0.86816569272518,0.002802197390293447,0.002229916475120879
0.72,0.8664377679319005,0.00278818640334198,0.002254074375159776
0.73,0.8647132569552467,0.00277424547132527,0.002278063643530806
0.74,0.8629921531777501,0.0027603742439686434,0.0023018854566545953
0.75,0.8612744499941265,0.0027465723727488002,0.0023255409827516783
0.76,0.8595601408112565,0.0027328395108850564,0.0023490313818995876
0.77,0.8578492190481667,0.0027191753133306313,0.002372357806089545
0.78,0.8561416781360104,0.0027055794367639783,0.0023955213992827586
0.79,0.8544375115180487,0.0026920515395801583,0.0024185232974663308
0.8,0.8527367126496314,0.0026785912818822577,0.002441364628708773
0.81,0.8510392749981778,0.0026651983254728463,0.0024640465132151406
0.8200000000000001,0.8493451920431578,0.002651872333845482,0.00248657006338178
0.8300000000000001,0.847654457276073,0.0026386129721762547,0.0025089363838506967
0.84,0.8459670642004374,0.0026254199073153734,0.0025311465715635462
0.85,0.8442830063317585,0.0026122928077787965,0.0025532017158152493
0.86,0.8426022771975182,0.0025992313437399025,0.0025751028983072334
0.87,0.8409248703371545,0.002586235187021203,0.0025968511932003054
0.88,0.8392507793020412,0.0025733040110860967,0.002618447667167156
0.89,0.8375799976554703,0.0025604374910306663,0.0026398933794445005
0.9,0.8359125189726324,0.0025476353035755127,0.0026611893818848545
0.91,0.8342483368405978,0.002534897127057635,0.002682336719007953
0.92,0.8325874448582978,0.002522222641422347,0.0027033364280518086
0.93,0.8309298366365055,0.002509611528215235,0.0027241895390234185
0.9400000000000001,0.8292755057978172,0.002497063470574159,0.002744897074749115
0.9500000000000001,0.8276244459766332,0.002484578153221288,0.002765460050924569
0.96,0.8259766508191396,0.0024721552624551815,0.0027858794761644458
0.97,0.8243321139832888,0.0024597944861429054,0.0028061563520517118
0.98,0.8226908291387807,0.002447495513712191,0.002826291673186605
0.99,0.8210527899670442,0.00243525803614363,0.002846286427235259
1.0,0.8194179901612185,0.0024230817459629118,0.0028661415949779914
1.01,0.817786423426134,0.0024109663372330974,0.002885858150357258
1.02,0.8161580834782933,0.002398911505546932,0.0029054370605252704
1.03,0.8145329640458534,0.0023869169480191976,0.002924879285891284
1.04,0.8129110588686057,0.0023749823632791016,0.002944185780168559
1.05,0.8112923616979584,0.002363107451462706,0.002963357490420991
1.06,0.8096768662969168,0.0023512919142053925,0.002982395357109422
1.07,0.8080645664400656,0.0023395354546343655,0.003001300314137625
1.08,0.8064554559135494,0.0023278377773611938,0.003020073288897971
1.09,0.8048495285150544,0.002316198588474388,0.003038715202316779
1.1,0.8032467780537897,0.002304617595532016,0.0030572269688993506
1.11,0.8016471983504687,0.002293094507554356,0.0030756094967746886
1.12,0.8000507832372904,0.002281629035016584,0.003093863687739908
1.1300000000000001,0.7984575265579209,0.002270220889841501,0.003111990437304338
1.1400000000000001,0.7968674221674746,0.0022588697853922935,0.0031299906347333137
1.1500000000000001,0.7952804639324959,0.002247575436465332,0.003147865163091668
1.16,0.7936966457309402,0.0022363375592830055,0.003165614899286918
1.17,0.7921159614521562,0.0022251558714865903,0.003183240714112153
1.18,0.7905384049968663,0.0022140300921291572,0.0032007434722886217
1.19,0.788963970277149,0.0022029599416685114,0.0032181240325080246
1.2,0.7873926512164198,0.0021919451419601687,0.0032353832474745145
1.21,0.7858244417494128,0.002180985416250368,0.0032525219639464
1.22,0.7842593358221627,0.002170080489169116,0.003269541022777564
1.23,0.7826973273919858,0.0021592300867232703,0.003286441258958591
1.24,0.781138410427462,0.002148433936289654,0.003303223501657608
1.25,0.779582578908416,0.0021376917666082055,0.003319888574260845
1.26,0.7780298268258989,0.0021270033077751644,0.0033364372944129092
1.27,0.7764801481821705,0.0021163682912362885,0.0033528704740567812
1.28,0.7749335369906798,0.002105786449780107,0.003369188919473533
1.29,0.7733899872760478,0.0020952575175312064,0.003385393431321768
1.3,0.7718494930740483,0.0020847812299435503,0.00340148480467679
1.31,0.77031204843159,0.0020743573237938327,0.0034174638290694966
1.32,0.7687776474066982,0.0020639855371748636,0.003433331288525004
1.33,0.7672462840684963,0.0020536656094889893,0.003449087961601001
1.34,0.7657179524971878,0.0020433972814415443,0.0034647346214258384
1.35,0.7641926467840378,0.0020331802950343367,0.0034802720357363526
1.36,0.7626703610313548,0.002023014393559165,0.0034957009669154267
1.37,0.7611510893524728,0.0020128993215913693,0.003511022172029288
1.3800000000000001,0.7596348258717326,0.0020028348249834125,0.003526236402864549
1.3900000000000001,0.7581215647244641,0.0019928206508584953,0.0035413444059649896
1.4000000000000001,0.7566113000569678,0.0019828565476042027,0.0035563469226680823
1.41,0.7551040260264966,0.0019729422648661816,0.003571244689141265
1.42,0.7535997368012383,0.0019630775535418505,0.003586038436417961
1.43,0.7520984265602965,0.0019532621657741413,0.0036007288904333456
1.44,0.7506000894936732,0.0019434958549452706,0.003615316772059871
1.45,0.7491047198022507,0.0019337783756705443,0.003629802797142534
1.46,0.7476123116977732,0.0019241094837921917,0.003644187676533909
1.47,0.7461228594028291,0.0019144889363732307,0.0036584721161289275
1.48,0.7446363571508325,0.0019049164916913645,0.0036726568168994234
1.49,0.743152799186006,0.0018953919092329077,0.0036867424749284327
1.5,0.7416721797633616,0.0018859149496867431,0.0037007297814442577
1.51,0.740194493148684,0.0018764853749383094,0.0037146194228542912
1.52,0.7387197336185115,0.0018671029480636179,0.0037284120807786103
1.53,0.7372478954601187,0.0018577674333232997,0.0037421084320833297
1.54,0.7357789729714984,0.0018484785961566832,0.0037557091489137293
1.55,0.7343129604613439,0.0018392362031758999,0.0037692148987271473
1.56,0.7328498522490307,0.0018300400221600204,0.003782626344325645
1.57,0.731389642664599,0.0018208898220492202,0.003795944143888447
1.58,0.729932326048736,0.001811785372938974,0.0038091689510041512
1.59,0.7284778967527574,0.001802726446074279,0.003822301414702719
1.6,0.7270263491385901,0.0017937128138439077,0.0038353421794872396
1.61,0.7255776775787545,0.0017847442497746881,0.003848291885365475
1.62,0.7241318764563462,0.0017758205285258147,0.003861151167881186
1.6300000000000001,0.7226889401650192,0.0017669414258831857,0.003873920658145238
1.6400000000000001,0.7212488631089667,0.0017581067187537698,0.003886600982866492
1.6500000000000001,0.7198116397029051,0.001749316185160001,0.00389919276438248
1.6600000000000001,0.7183772643720547,0.0017405696042342008,0.003911696620689869
1.67,0.7169457315521234,0.0017318667562130298,0.0039241131654747085
1.68,0.7155170356892878,0.0017232074224319647,0.0039364430081424715
1.69,0.7140911712401765,0.0017145913853198048,0.003948686753847885
1.7,0.7126681326718521,0.0017060184283932058,0.003960845003524552
1.71,0.7112479144617936,0.0016974883362512398,0.0039729183539143715
1.72,0.7098305110978788,0.0016890008945699836,0.003984907397596746
1.73,0.7084159170783667,0.0016805558900971336,0.003996812723017592
1.74,0.7070041269118803,0.0016721531106466479,0.004008634914518149
1.75,0.7055951351173885,0.0016637923450934147,0.004020374552363584
1.76,0.704188936224189,0.0016554733833679476,0.004032032212771397
1.77,0.7027855247718907,0.001647196016451108,0.004043608467939635
1.78,0.7013848953103963,0.0016389600363688524,0.004055103886074899
1.79,0.6999870423998846,0.0016307652361870083,0.0040665190314201705
1.8,0.6985919606107934,0.0016226114100060733,0.004077854464282426
1.81,0.6971996445238019,0.0016144983529560429,0.004089110741060079
1.82,0.6958100887298132,0.0016064258611912627,0.004100288414270212
1.83,0.6944232878299371,0.0015983937318853063,0.004111388032575638
1.84,0.6930392364354729,0.0015904017632258798,0.004122410140811755
1.85,0.6916579291678917,0.0015824497544097505,0.004133355280013227
1.86,0.6902793606588191,0.0015745375056377018,0.0041442239874404764
1.87,0.6889035255500184,0.0015666648181095132,0.004155016796605984
1.8800000000000001,0.6875304184933727,0.0015588314940189656,0.00416573423730042
1.8900000000000001,0.686160034150868,0.0015510373365488707,0.004176376835618576
1.9000000000000001,0.6847923671945759,0.0015432821498661264,0.004186945113985136
1.9100000000000001,0.6834274123066364,0.0015355657391167958,0.004197439591180249
1.92,0.6820651641792405,0.0015278879104212119,0.0042078607823649375
1.93,0.6807056175146132,0.0015202484708691057,0.004218209199106323
