t,position,setpoint,error,psi,torque,Ec
0.0,0.0,1.0,1.0,0.0003,0.045,150.0142
0.01,7e-06,1.0,0.999994,0.003294,0.4947,150.1633
0.02,1.6e-05,1.0,0.999985,0.006278,0.9437,150.312
0.03,2.5e-05,1.0,0.999976,0.009251,1.3919,150.4606
0.04,3.4e-05,1.0,0.999967,0.012214,1.8396,150.6092
0.05,4.3e-05,1.0,0.999958,0.015167,2.2865,150.7578
0.06,5.2e-05,1.0,0.999949,0.018109,2.7327,150.9065
0.07,6.1e-05,1.0,0.99994,0.021041,3.1783,151.0551
0.08,7e-05,1.0,0.999931,0.023962,3.6232,151.2037
0.09,7.9e-05,1.0,0.999922,0.026873,4.0674,151.3523
0.1,8.8e-05,1.0,0.999913,0.029775,4.5109,151.5009
0.11,9.7e-05,1.0,0.999904,0.032666,4.9537,151.6495
0.12,0.000106,1.0,0.999895,0.035546,5.3959,151.7981
0.13,0.000115,1.0,0.999886,0.038417,5.8373,151.9467
0.14,0.000124,1.0,0.999877,0.041278,6.2782,152.0953
0.15,0.000133,1.0,0.999868,0.044128,6.7183,152.2439
0.16,0.000142,1.0,0.999859,0.046969,7.1577,152.3925
0.17,0.000151,1.0,0.99985,0.0498,7.5965,152.5411
0.18,0.00016,1.0,0.999841,0.052621,8.0346,152.6897
0.19,0.000169,1.0,0.999832,0.055431,8.4721,152.8383
0.2,0.000177,1.0,0.999823,0.058233,8.9088,152.9869
0.21,0.000186,1.0,0.999815,0.061024,9.3449,153.1355
0.22,0.000195,1.0,0.999806,0.063805,9.7803,153.2841
0.23,0.000204,1.0,0.999797,0.066577,10.2151,153.4327
0.24,0.000213,1.0,0.999788,0.069339,10.6492,153.5813
0.25,0.000222,1.0,0.999779,0.072091,11.0826,153.7299
0.26,0.00023,1.0,0.999771,0.074834,11.5153,153.8785
0.27,0.000239,1.0,0.999762,0.077567,11.9474,154.027
0.28,0.000248,1.0,0.999753,0.080291,12.3788,154.1756
0.29,0.000257,1.0,0.999744,0.083004,12.8096,154.3242
