KE,avg_error,lambda_val,lipschitz,max_error,memory_mode,overshoot_rad,rmse,setpoint_freq,settling_time_s,stable,steps,torque_max,torque_violation_rate,torque_violations,total_energy_J
0.2,0.999945,0.35,200.0006,1.000563,adaptive,0.0,0.999948,1.0,,False,5000,30.0,0.0,0,0.0335
0.3,0.99992,0.35,200.0009,1.000608,adaptive,0.0,0.999924,1.0,,False,5000,30.0,0.1274,637,0.0547
0.4,0.999905,0.35,200.0013,1.000608,adaptive,0.0,0.999909,1.0,,False,5000,30.0,0.284,1420,0.0633
0.5,0.999896,0.35,200.0015,1.000608,adaptive,0.0,0.9999,1.0,,False,5000,30.0,0.3832,1916,0.0724
0.2,0.999944,0.1,200.0007,1.000635,short,0.0,0.999947,1.0,,False,5000,50.0,0.0,0,0.0443
0.3,0.999915,0.1,200.001,1.000952,short,0.0,0.99992,1.0,,False,5000,50.0,0.0,0,0.0996
0.4,0.999888,0.1,200.0013,1.001013,short,0.0,0.999893,1.0,,False,5000,50.0,0.1316,658,0.13
0.5,0.999869,0.1,200.0017,1.001013,short,0.0,0.999875,1.0,,False,5000,50.0,0.286,1430,0.1318
0.2,0.999946,0.16905,200.0007,1.000614,short,0.0,0.999949,1.0,,False,5000,50.0,0.0,0,0.0399
0.3,0.999919,0.16905,200.001,1.00092,short,0.0,0.999923,1.0,,False,5000,50.0,0.0,0,0.0898
0.4,0.999892,0.16905,200.0013,1.001013,short,0.0,0.999898,1.0,,False,5000,50.0,0.0824,412,0.1307
0.5,0.999871,0.16905,200.0016,1.001013,short,0.0,0.999877,1.0,,False,5000,50.0,0.2288,1144,0.138
0.2,0.999946,0.25,200.0006,1.00059,short,0.0,0.999949,1.0,,False,5000,50.0,0.0,0,0.0364
0.3,0.999919,0.25,200.001,1.000885,short,0.0,0.999924,1.0,,False,5000,50.0,0.0,0,0.0819
0.4,0.999893,0.25,200.0012,1.001013,short,0.0,0.999899,1.0,,False,5000,50.0,0.0528,264,0.1276
0.5,0.999871,0.25,200.0016,1.001013,short,0.0,0.999877,1.0,,False,5000,50.0,0.1744,872,0.1457
0.2,0.999945,0.35,200.0006,1.000563,short,0.0,0.999948,1.0,,False,5000,50.0,0.0,0,0.0335
0.3,0.999917,0.35,200.0009,1.000844,short,0.0,0.999922,1.0,,False,5000,50.0,0.0,0,0.0754
0.4,0.99989,0.35,200.0012,1.001013,short,0.0,0.999896,1.0,,False,5000,50.0,0.0372,186,0.1221
0.5,0.999867,0.35,200.0015,1.001013,short,0.0,0.999874,1.0,,False,5000,50.0,0.1272,636,0.152
0.2,0.999946,0.1,200.0007,1.000635,long,0.0,0.999949,1.0,,False,5000,50.0,0.0,0,0.0443
0.3,0.999918,0.1,200.001,1.000952,long,0.0,0.999923,1.0,,False,5000,50.0,0.0,0,0.0996
0.4,0.999892,0.1,200.0013,1.001013,long,0.0,0.999897,1.0,,False,5000,50.0,0.1286,643,0.13
0.5,0.999873,0.1,200.0017,1.001013,long,0.0,0.999878,1.0,,False,5000,50.0,0.2818,1409,0.1318
0.2,0.999948,0.16905,200.0007,1.000614,long,0.0,0.999951,1.0,,False,5000,50.0,0.0,0,0.0399
0.3,0.999922,0.16905,200.001,1.00092,long,0.0,0.999926,1.0,,False,5000,50.0,0.0,0,0.0898
0.4,0.999896,0.16905,200.0013,1.001013,long,0.0,0.999901,1.0,,False,5000,50.0,0.0798,399,0.1307
0.5,0.999875,0.16905,200.0016,1.001013,long,0.0,0.999881,1.0,,False,5000,50.0,0.2246,1123,0.138
0.2,0.999948,0.25,200.0006,1.00059,long,0.0,0.999951,1.0,,False,5000,50.0,0.0,0,0.0364
0.3,0.999922,0.25,200.001,1.000885,long,0.0,0.999927,1.0,,False,5000,50.0,0.0,0,0.0819
0.4,0.999897,0.25,200.0012,1.001013,long,0.0,0.999902,1.0,,False,5000,50.0,0.0504,252,0.1276
0.5,0.999875,0.25,200.0016,1.001013,long,0.0,0.999881,1.0,,False,5000,50.0,0.1702,851,0.1457
0.2,0.999947,0.35,200.0006,1.000563,long,0.0,0.99995,1.0,,False,5000,50.0,0.0,0,0.0335
0.3,0.99992,0.35,200.0009,1.000844,long,0.0,0.999925,1.0,,False,5000,50.0,0.0,0,0.0754
0.4,0.999894,0.35,200.0012,1.001013,long,0.0,0.9999,1.0,,False,5000,50.0,0.035,175,0.1221
0.5,0.999871,0.35,200.0015,1.001013,long,0.0,0.999877,1.0,,False,5000,50.0,0.123,615,0.152
0.2,0.999944,0.1,200.0007,1.000635,adaptive,0.0,0.999947,1.0,,False,5000,50.0,0.0,0,0.0443
0.3,0.999916,0.1,200.001,1.000952,adaptive,0.0,0.99992,1.0,,False,5000,50.0,0.0,0,0.0996
0.4,0.999888,0.1,200.0013,1.001013,adaptive,0.0,0.999894,1.0,,False,5000,50.0,0.1316,658,0.13
0.5,0.999869,0.1,200.0017,1.001013,adaptive,0.0,0.999875,1.0,,False,5000,50.0,0.286,1430,0.1318
0.2,0.999946,0.16905,200.0007,1.000614,adaptive,0.0,0.999949,1.0,,False,5000,50.0,0.0,0,0.0399
0.3,0.999919,0.16905,200.001,1.00092,adaptive,0.0,0.999923,1.0,,False,5000,50.0,0.0,0,0.0898
0.4,0.999893,0.16905,200.0013,1.001013,adaptive,0.0,0.999898,1.0,,False,5000,50.0,0.0824,412,0.1307
0.5,0.999872,0.16905,200.0016,1.001013,adaptive,0.0,0.999877,1.0,,False,5000,50.0,0.2288,1144,0.138
0.2,0.999946,0.25,200.0006,1.00059,adaptive,0.0,0.999949,1.0,,False,5000,50.0,0.0,0,0.0364
0.3,0.99992,0.25,200.001,1.000885,adaptive,0.0,0.999924,1.0,,False,5000,50.0,0.0,0,0.0819
0.4,0.999893,0.25,200.0012,1.001013,adaptive,0.0,0.999899,1.0,,False,5000,50.0,0.0528,264,0.1276
0.5,0.999871,0.25,200.0016,1.001013,adaptive,0.0,0.999878,1.0,,False,5000,50.0,0.1744,872,0.1457
0.2,0.999945,0.35,200.0006,1.000563,adaptive,0.0,0.999948,1.0,,False,5000,50.0,0.0,0,0.0335
0.3,0.999918,0.35,200.0009,1.000844,adaptive,0.0,0.999922,1.0,,False,5000,50.0,0.0,0,0.0754
0.4,0.99989,0.35,200.0012,1.001013,adaptive,0.0,0.999896,1.0,,False,5000,50.0,0.0372,186,0.1221
0.5,0.999867,0.35,200.0015,1.001013,adaptive,0.0,0.999874,1.0,,False,5000,50.0,0.1272,636,0.152
0.2,0.999944,0.1,200.0007,1.000635,short,0.0,0.999947,1.0,,False,5000,100.0,0.0,0,0.0443
0.3,0.999915,0.1,200.001,1.000952,short,0.0,0.99992,1.0,,False,5000,100.0,0.0,0,0.0996
0.4,0.999887,0.1,200.0013,1.001269,short,0.0,0.999894,1.0,,False,5000,100.0,0.0,0,0.177
0.5,0.999859,0.1,200.0017,1.001586,short,0.0,0.999867,1.0,,False,5000,100.0,0.0,0,0.2764
0.2,0.999946,0.16905,200.0007,1.000614,short,0.0,0.999949,1.0,,False,5000,100.0,0.0,0,0.0399
0.3,0.999919,0.16905,200.001,1.00092,short,0.0,0.999923,1.0,,False,5000,100.0,0.0,0,0.0898
0.4,0.999892,0.16905,200.0013,1.001227,short,0.0,0.999898,1.0,,False,5000,100.0,0.0,0,0.1595
0.5,0.999865,0.16905,200.0017,1.001533,short,0.0,0.999872,1.0,,False,5000,100.0,0.0,0,0.2491
0.2,0.999946,0.25,200.0006,1.00059,short,0.0,0.999949,1.0,,False,5000,100.0,0.0,0,0.0364
0.3,0.999919,0.25,200.001,1.000885,short,0.0,0.999924,1.0,,False,5000,100.0,0.0,0,0.0819
0.4,0.999893,0.25,200.0012,1.00118,short,0.0,0.999899,1.0,,False,5000,100.0,0.0,0,0.1456
0.5,0.999866,0.25,200.0016,1.001475,short,0.0,0.999873,1.0,,False,5000,100.0,0.0,0,0.2274
0.2,0.999945,0.35,200.0006,1.000563,short,0.0,0.999948,1.0,,False,5000,100.0,0.0,0,0.0335
0.3,0.999917,0.35,200.0009,1.000844,short,0.0,0.999922,1.0,,False,5000,100.0,0.0,0,0.0754
0.4,0.99989,0.35,200.0012,1.001125,short,0.0,0.999896,1.0,,False,5000,100.0,0.0,0,0.1339
0.5,0.999862,0.35,200.0016,1.001406,short,0.0,0.99987,1.0,,False,5000,100.0,0.0,0,0.2092
0.2,0.999946,0.1,200.0007,1.000635,long,0.0,0.999949,1.0,,False,5000,100.0,0.0,0,0.0443
0.3,0.999918,0.1,200.001,1.000952,long,0.0,0.999923,1.0,,False,5000,100.0,0.0,0,0.0996
0.4,0.999891,0.1,200.0013,1.001269,long,0.0,0.999897,1.0,,False,5000,100.0,0.0,0,0.177
0.5,0.999864,0.1,200.0017,1.001586,long,0.0,0.999872,1.0,,False,5000,100.0,0.0,0,0.2764
0.2,0.999948,0.16905,200.0007,1.000614,long,0.0,0.999951,1.0,,False,5000,100.0,0.0,0,0.0399
0.3,0.999922,0.16905,200.001,1.00092,long,0.0,0.999926,1.0,,False,5000,100.0,0.0,0,0.0898
0.4,0.999896,0.16905,200.0013,1.001227,long,0.0,0.999902,1.0,,False,5000,100.0,0.0,0,0.1595
0.5,0.99987,0.16905,200.0017,1.001534,long,0.0,0.999877,1.0,,False,5000,100.0,0.0,0,0.2492
0.2,0.999948,0.25,200.0006,1.00059,long,0.0,0.999951,1.0,,False,5000,100.0,0.0,0,0.0364
