config_id,alpha,lambda,epochs,final_error,convergence_rate,is_stable,reached_target,lipschitz,total_drift
quantum_alpha0.500_lambda0.100_epochs5,0.5,0.1,5,8.095931413883164,0.002115642602904736,True,False,0.04297977735670378,2.1495901171893648
quantum_alpha0.500_lambda0.100_epochs10,0.5,0.1,10,7.130193075030689,0.0017392858363244493,True,False,0.04297977735670378,3.000959497163662
quantum_alpha0.500_lambda0.100_epochs15,0.5,0.1,15,6.604085149123193,0.0014149717715140264,True,False,0.04297977735670378,3.469593379724734
quantum_alpha0.500_lambda0.100_epochs20,0.5,0.1,20,6.304988308590168,0.001173025595157699,True,False,0.04297977735670378,3.7376760603372126
quantum_alpha0.500_lambda0.100_epochs30,0.5,0.1,30,6.027203114049115,0.0008543692994981582,True,False,0.04297977735670378,3.9878007246263207
quantum_alpha0.500_lambda0.100_epochs50,0.5,0.1,50,5.8923067064973225,0.0005369561230628709,True,False,0.04297977735670378,4.109678396017297
quantum_alpha0.500_lambda0.100_epochs100,0.5,0.1,100,5.871621692470768,0.0002725016146170344,True,False,0.04297977735670378,4.128391636089929
quantum_alpha0.500_lambda0.105_epochs5,0.5,0.10500000000000001,5,8.111489616532822,0.002098355622493296,True,False,0.042765414822843344,2.128430143250459
quantum_alpha0.500_lambda0.105_epochs10,0.5,0.10500000000000001,10,7.174638485579436,0.001712349085846754,True,False,0.042765414822843344,2.950895356537089
quantum_alpha0.500_lambda0.105_epochs15,0.5,0.10500000000000001,15,6.674698087118173,0.0013855495632567228,True,False,0.042765414822843344,3.394387558676821
quantum_alpha0.500_lambda0.105_epochs20,0.5,0.10500000000000001,20,6.396339323836372,0.001144025124258904,True,False,0.042765414822843344,3.6428243195381937
quantum_alpha0.500_lambda0.105_epochs30,0.5,0.10500000000000001,30,6.145419420516902,0.0008289463076247722,True,False,0.042765414822843344,3.867747794116045
quantum_alpha0.500_lambda0.105_epochs50,0.5,0.10500000000000001,50,6.030509644915782,0.0005188902869094142,True,False,0.042765414822843344,3.9710726156001264
quantum_alpha0.500_lambda0.105_epochs100,0.5,0.10500000000000001,100,6.014738387297513,0.0002630549196889522,True,False,0.042765414822843344,3.9852698939294537
quantum_alpha0.500_lambda0.110_epochs5,0.5,0.11,5,8.12684585575073,0.0020812930470447606,True,False,0.04255212142658084,2.107593253022596
quantum_alpha0.500_lambda0.110_epochs10,0.5,0.11,10,7.2180520944477,0.0016860376729250963,True,False,0.04255212142658084,2.902081946695711
quantum_alpha0.500_lambda0.110_epochs15,0.5,0.11,15,6.743088675905682,0.0013570533385806058,True,False,0.04255212142658084,3.32166180229582
quantum_alpha0.500_lambda0.110_epochs20,0.5,0.11,20,6.484162974760636,0.0011161444572954256,True,False,0.04255212142658084,3.5517603120863805
quantum_alpha0.500_lambda0.110_epochs30,0.5,0.11,30,6.257692916062297,0.0008048013461542917,True,False,0.04255212142658084,3.7538472607061673
quantum_alpha0.500_lambda0.110_epochs50,0.5,0.11,50,6.1599007764708915,0.000501976326836386,True,False,0.04255212142658084,3.841357928856955
quantum_alpha0.500_lambda0.110_epochs100,0.5,0.11,100,6.147877593206232,0.0002542668082620541,True,False,0.04255212142658084,3.852127540794431
quantum_alpha0.500_lambda0.115_epochs5,0.5,0.115,5,8.142002881206992,0.0020644518213544746,True,False,0.042339891835570256,2.0870743519477704
quantum_alpha0.500_lambda0.115_epochs10,0.5,0.115,10,7.26045723444696,0.0016603374563891502,True,False,0.042339891835570256,2.8544891516995117
quantum_alpha0.500_lambda0.115_epochs15,0.5,0.115,15,6.809322882936868,0.0013294556109068548,True,False,0.042339891835570256,3.251339008991109
quantum_alpha0.500_lambda0.115_epochs20,0.5,0.115,20,6.568589458972468,0.0010893422614810275,True,False,0.042339891835570256,3.4643385002298244
quantum_alpha0.500_lambda0.115_epochs30,0.5,0.115,30,6.364336284537615,0.0007818671709029503,True,False,0.042339891835570256,3.645765710736192
quantum_alpha0.500_lambda0.115_epochs50,0.5,0.115,50,6.281177664826146,0.0004861230575839397,True,False,0.042339891835570256,3.7198219157563295
quantum_alpha0.500_lambda0.115_epochs100,0.5,0.115,100,6.272011885166222,0.00024607308363978604,True,False,0.042339891835570256,3.727991291636947
quantum_alpha0.500_lambda0.120_epochs5,0.5,0.12,5,8.156963408452611,0.0020478289281280807,True,False,0.04212872074406077,2.0668684132349697
quantum_alpha0.500_lambda0.120_epochs10,0.5,0.12,10,7.301876948169593,0.0016352344709598574,True,False,0.04212872074406077,2.808087205474561
quantum_alpha0.500_lambda0.120_epochs15,0.5,0.12,15,6.873466114034045,0.0013027291276698646,True,False,0.04212872074406077,3.1833427013098357
quantum_alpha0.500_lambda0.120_epochs20,0.5,0.12,20,6.649747823861759,0.0010635775691804298,True,False,0.04212872074406077,3.3804147517617396
quantum_alpha0.500_lambda0.120_epochs30,0.5,0.12,30,6.465654118698012,0.0007600782777167912,True,False,0.04212872074406077,3.5431791682308864
quantum_alpha0.500_lambda0.120_epochs50,0.5,0.12,50,6.3949859007831265,0.00047124608776519846,True,False,0.04212872074406077,3.6058066784778773
quantum_alpha0.500_lambda0.120_epochs100,0.5,0.12,100,6.387997824432858,0.00023841720683571773,True,False,0.04212872074406077,3.6120041380277805
quantum_alpha0.500_lambda0.125_epochs5,0.5,0.125,5,8.171730119164437,0.0020314213877093714,True,False,0.04191860287276409,2.0469704776883306
quantum_alpha0.500_lambda0.125_epochs10,0.5,0.125,10,7.342333970195597,0.0016107149380332835,True,False,0.04191860287276409,2.7628467249349398
