# Core: D0=149.999 I3=6.49394 S=23.0983 F'(D0)=0.00053802
# FixedPoint ~ 149.999  |x*-D0|=0
# CMB: Cn=1 Cs=0.418877 pH@t=100=1.43304
# Market: eff=0.785004
# SNR=12.6491 quality=1
# Fused=0.989933 conf=0.9
# PID out=0.364161
# vol=0.014004 ROI=0.0196078 risk=0.32
# consensus=0.989933 validation=0.78 health=0.825
# corr=0.996419 procRate=500 errRate=0.003
# t,psi,gamma,Ec
1.24,1.26206,0.522774,-0.0193411
1.25,1.26261,0.526857,-0.0200822
1.26,1.26312,0.530935,-0.0208389
1.27,1.26359,0.53501,-0.0216112
1.28,1.26403,0.539081,-0.0223994
1.29,1.26442,0.543148,-0.0232033
1.3,1.26478,0.547211,-0.0240233
1.31,1.26509,0.55127,-0.0248593
1.32,1.26537,0.555325,-0.0257115
1.33,1.2656,0.559375,-0.02658
1.34,1.2658,0.563421,-0.0274648
1.35,1.26595,0.567463,-0.0283661
1.36,1.26607,0.5715,-0.0292839
1.37,1.26615,0.575533,-0.0302183
1.38,1.26618,0.579561,-0.0311694
1.39,1.26618,0.583585,-0.0321373
1.4,1.26614,0.587604,-0.0331221
1.41,1.26606,0.591618,-0.0341239
1.42,1.26594,0.595628,-0.0351427
1.43,1.26578,0.599633,-0.0361786
1.44,1.26559,0.603633,-0.0372317
1.45,1.26535,0.607628,-0.0383021
1.46,1.26508,0.611618,-0.0393898
1.47,1.26476,0.615603,-0.0404949
1.48,1.26441,0.619583,-0.0416175
1.49,1.26402,0.623558,-0.0427577
1.5,1.26359,0.627528,-0.0439154
1.51,1.26313,0.631493,-0.0450909
1.52,1.26262,0.635452,-0.0462841
1.53,1.26208,0.639406,-0.0474951
1.54,1.2615,0.643355,-0.048724
1.55,1.26089,0.647298,-0.0499708
1.56,1.26023,0.651236,-0.0512356
1.57,1.25954,0.655168,-0.0525184
1.58,1.25882,0.659095,-0.0538194
1.59,1.25805,0.663016,-0.0551384
1.6,1.25726,0.666931,-0.0564757
1.61,1.25642,0.670841,-0.0578313
1.62,1.25555,0.674745,-0.0592051
1.63,1.25465,0.678643,-0.0605974
1.64,1.2537,0.682535,-0.062008
1.65,1.25273,0.686422,-0.063437
1.66,1.25172,0.690302,-0.0648846
1.67,1.25067,0.694176,-0.0663507
1.68,1.2496,0.698045,-0.0678353
1.69,1.24848,0.701907,-0.0693386
1.7,1.24734,0.705763,-0.0708606
1.71,1.24616,0.709613,-0.0724012
1.72,1.24495,0.713456,-0.0739606
1.73,1.2437,0.717294,-0.0755388
1.74,1.24243,0.721125,-0.0771357
1.75,1.24112,0.724949,-0.0787515
1.76,1.23978,0.728767,-0.0803862
1.77,1.23841,0.732579,-0.0820398
1.78,1.23701,0.736384,-0.0837124
1.79,1.23558,0.740182,-0.0854039
1.8,1.23412,0.743974,-0.0871144
1.81,1.23263,0.747759,-0.0888439
1.82,1.23111,0.751538,-0.0905926
1.83,1.22956,0.755309,-0.0923603
1.84,1.22798,0.759074,-0.0941471
1.85,1.22637,0.762832,-0.095953
1.86,1.22474,0.766583,-0.0977782
1.87,1.22308,0.770328,-0.0996225
1.88,1.22139,0.774065,-0.101486
1.89,1.21968,0.777795,-0.103369
1.9,1.21794,0.781518,-0.105271
1.91,1.21617,0.785234,-0.107192
1.92,1.21438,0.788943,-0.109133
1.93,1.21257,0.792645,-0.111093
1.94,1.21073,0.796339,-0.113072
1.95,1.20887,0.800026,-0.115071
1.96,1.20698,0.803706,-0.117089
1.97,1.20507,0.807378,-0.119126
1.98,1.20314,0.811044,-0.121183
1.99,1.20119,0.814701,-0.12326
2,1.19921,0.818351,-0.125355
2.01,1.19721,0.821994,-0.127471
2.02,1.1952,0.825629,-0.129606
2.03,1.19316,0.829257,-0.13176
2.04,1.19111,0.832877,-0.133934
2.05,1.18903,0.836489,-0.136127
2.06,1.18694,0.840093,-0.13834
2.07,1.18483,0.84369,-0.140573
2.08,1.1827,0.847279,-0.142825
2.09,1.18055,0.850861,-0.145097
2.1,1.17839,0.854434,-0.147389
2.11,1.17621,0.858,-0.1497
2.12,1.17402,0.861557,-0.152031
2.13,1.17181,0.865107,-0.154381
2.14,1.16959,0.868649,-0.156752
2.15,1.16735,0.872183,-0.159142
2.16,1.1651,0.875709,-0.161551
2.17,1.16284,0.879226,-0.163981
2.18,1.16056,0.882736,-0.16643
2.19,1.15828,0.886238,-0.1689
2.2,1.15598,0.889731,-0.171389
2.21,1.15367,0.893216,-0.173897
2.22,1.15135,0.896693,-0.176426
2.23,1.14903,0.900162,-0.178975
2.24,1.14669,0.903623,-0.181544
2.25,1.14435,0.907075,-0.184132
2.26,1.142,0.91052,-0.186741
2.27,1.13964,0.913956,-0.189369
2.28,1.13727,0.917383,-0.192018
2.29,1.1349,0.920802,-0.194686
2.3,1.13252,0.924213,-0.197375
2.31,1.13014,0.927616,-0.200084
2.32,1.12776,0.93101,-0.202813
2.33,1.12537,0.934395,-0.205562
2.34,1.12298,0.937773,-0.208331
2.35,1.12058,0.941142,-0.21112
2.36,1.11819,0.944502,-0.21393
2.37,1.11579,0.947854,-0.21676
2.38,1.11339,0.951198,-0.21961
2.39,1.11099,0.954533,-0.222481
2.4,1.1086,0.957859,-0.225372
2.41,1.1062,0.961177,-0.228283
2.42,1.10381,0.964487,-0.231215
2.43,1.10142,0.967788,-0.234167
2.44,1.09903,0.971081,-0.23714
2.45,1.09664,0.974365,-0.240134
2.46,1.09426,0.97764,-0.243148
2.47,1.09189,0.980907,-0.246183
2.48,1.08952,0.984166,-0.249238
2.49,1.08716,0.987416,-0.252314
2.5,1.0848,0.990657,-0.255411
2.51,1.08245,0.993891,-0.258529
2.52,1.08011,0.997115,-0.261668
2.53,1.07778,1.00033,-0.264827
2.54,1.07545,1.00354,-0.268008
2.55,1.07314,1.00674,-0.27121
2.56,1.07084,1.00993,-0.274432
2.57,1.06854,1.01311,-0.277676
2.58,1.06626,1.01629,-0.280941
2.59,1.064,1.01945,-0.284228
2.6,1.06174,1.02261,-0.287536
2.61,1.0595,1.02576,-0.290865
2.62,1.05727,1.0289,-0.294215
2.63,1.05506,1.03203,-0.297588
2.64,1.05287,1.03515,-0.300981
2.65,1.05069,1.03827,-0.304397
2.66,1.04852,1.04138,-0.307834
2.67,1.04638,1.04448,-0.311293
2.68,1.04425,1.04757,-0.314774
2.69,1.04214,1.05065,-0.318277
2.7,1.04005,1.05372,-0.321802
2.71,1.03798,1.05679,-0.325349
2.72,1.03593,1.05985,-0.328918
2.73,1.03391,1.0629,-0.33251
2.74,1.0319,1.06594,-0.336124
2.75,1.02992,1.06898,-0.33976
2.76,1.02795,1.072,-0.343419
2.77,1.02602,1.07502,-0.347101
2.78,1.02411,1.07804,-0.350805
2.79,1.02222,1.08104,-0.354533
2.8,1.02036,1.08404,-0.358283
2.81,1.01852,1.08702,-0.362056
2.82,1.01671,1.09,-0.365853
2.83,1.01493,1.09298,-0.369672
2.84,1.01318,1.09594,-0.373515
2.85,1.01145,1.0989,-0.377382
2.86,1.00976,1.10185,-0.381272
2.87,1.00809,1.1048,-0.385186
2.88,1.00645,1.10773,-0.389124
2.89,1.00485,1.11066,-0.393085
2.9,1.00328,1.11359,-0.397071
2.91,1.00174,1.1165,-0.401081
2.92,1.00023,1.11941,-0.405115
2.93,0.998757,1.12231,-0.409174
2.94,0.997318,1.12521,-0.413257
2.95,0.995913,1.1281,-0.417365
2.96,0.994544,1.13098,-0.421498
2.97,0.993211,1.13385,-0.425655
2.98,0.991914,1.13672,-0.429838
2.99,0.990655,1.13959,-0.434046
3,0.989433,1.14244,-0.43828
3.01,0.988249,1.14529,-0.442539
3.02,0.987105,1.14814,-0.446824
3.03,0.986,1.15098,-0.451134
3.04,0.984935,1.15381,-0.455471
3.05,0.98391,1.15663,-0.459834
3.06,0.982927,1.15946,-0.464223
3.07,0.981986,1.16227,-0.468638
3.08,0.981087,1.16508,-0.473081
3.09,0.980231,1.16789,-0.47755
3.1,0.979419,1.17069,-0.482046
3.11,0.978651,1.17348,-0.486569
3.12,0.977927,1.17627,-0.491119
3.13,0.977249,1.17905,-0.495697
3.14,0.976616,1.18183,-0.500303
3.15,0.97603,1.18461,-0.504937
3.16,0.975491,1.18738,-0.509598
3.17,0.974999,1.19014,-0.514288
3.18,0.974556,1.1929,-0.519007
3.19,0.97416,1.19566,-0.523754
3.2,0.973814,1.19841,-0.52853
3.21,0.973518,1.20116,-0.533334
3.22,0.973271,1.20391,-0.538168
3.23,0.973076,1.20665,-0.543032
3.24,0.972931,1.20939,-0.547925
3.25,0.972838,1.21212,-0.552848
3.26,0.972798,1.21485,-0.557801
3.27,0.97281,1.21758,-0.562784
3.28,0.972876,1.2203,-0.567798
3.29,0.972995,1.22302,-0.572843
3.3,0.973169,1.22574,-0.577918
3.31,0.973398,1.22846,-0.583025
3.32,0.973682,1.23117,-0.588163
3.33,0.974021,1.23388,-0.593333
3.34,0.974417,1.23659,-0.598534
3.35,0.97487,1.2393,-0.603768
3.36,0.97538,1.242,-0.609034
3.37,0.975948,1.24471,-0.614332
3.38,0.976574,1.24741,-0.619664
3.39,0.977259,1.25011,-0.625028
3.4,0.978003,1.2528,-0.630426
3.41,0.978806,1.2555,-0.635857
3.42,0.97967,1.25819,-0.641323
3.43,0.980594,1.26089,-0.646822
3.44,0.981579,1.26358,-0.652356
3.45,0.982626,1.26627,-0.657924
3.46,0.983734,1.26897,-0.663527
3.47,0.984905,1.27166,-0.669165
3.48,0.986139,1.27435,-0.674839
3.49,0.987435,1.27704,-0.680549
3.5,0.988796,1.27973,-0.686294
3.51,0.99022,1.28242,-0.692076
3.52,0.991709,1.28511,-0.697895
3.53,0.993262,1.2878,-0.70375
3.54,0.994881,1.2905,-0.709642
3.55,0.996566,1.29319,-0.715572
3.56,0.998316,1.29588,-0.72154
3.57,1.00013,1.29858,-0.727545
3.58,1.00202,1.30127,-0.733589
3.59,1.00397,1.30397,-0.739672
3.6,1.00599,1.30667,-0.745794
3.61,1.00807,1.30937,-0.751955
3.62,1.01023,1.31207,-0.758155
3.63,1.01245,1.31477,-0.764395
3.64,1.01474,1.31748,-0.770676
3.65,1.0171,1.32019,-0.776997
3.66,1.01954,1.3229,-0.783359
3.67,1.02204,1.32561,-0.789763
3.68,1.02461,1.32832,-0.796207
3.69,1.02725,1.33104,-0.802694
3.7,1.02996,1.33376,-0.809223
3.71,1.03275,1.33648,-0.815794
3.72,1.0356,1.33921,-0.822409
3.73,1.03853,1.34194,-0.829067
3.74,1.04153,1.34467,-0.835768
3.75,1.0446,1.3474,-0.842513
3.76,1.04775,1.35014,-0.849302
3.77,1.05097,1.35288,-0.856137
3.78,1.05426,1.35563,-0.863016
3.79,1.05763,1.35838,-0.86994
3.8,1.06106,1.36113,-0.876911
3.81,1.06458,1.36389,-0.883927
3.82,1.06816,1.36665,-0.89099
3.83,1.07183,1.36942,-0.8981
3.84,1.07556,1.37219,-0.905257
3.85,1.07937,1.37497,-0.912462
3.86,1.08326,1.37775,-0.919715
3.87,1.08722,1.38053,-0.927016
3.88,1.09126,1.38332,-0.934366
3.89,1.09537,1.38612,-0.941765
3.9,1.09956,1.38892,-0.949214
3.91,1.10383,1.39172,-0.956713
3.92,1.10817,1.39453,-0.964262
3.93,1.11259,1.39735,-0.971862
3.94,1.11708,1.40017,-0.979513
3.95,1.12165,1.40299,-0.987216
3.96,1.1263,1.40582,-0.994971
3.97,1.13103,1.40866,-1.00278
3.98,1.13583,1.4115,-1.01064
3.99,1.14071,1.41435,-1.01855
4,1.14567,1.41721,-1.02652
4.01,1.15071,1.42007,-1.03454
4.02,1.15582,1.42293,-1.04262
4.03,1.16101,1.4258,-1.05075
4.04,1.16628,1.42868,-1.05893
4.05,1.17162,1.43157,-1.06717
4.06,1.17705,1.43446,-1.07547
4.07,1.18255,1.43735,-1.08383
4.08,1.18813,1.44025,-1.09224
4.09,1.19379,1.44316,-1.10071
4.1,1.19953,1.44608,-1.10924
4.11,1.20534,1.449,-1.11782
4.12,1.21123,1.45193,-1.12647
4.13,1.21721,1.45486,-1.13517
4.14,1.22326,1.4578,-1.14394
4.15,1.22938,1.46075,-1.15276
4.16,1.23559,1.4637,-1.16165
4.17,1.24188,1.46666,-1.1706
4.18,1.24824,1.46963,-1.17961
4.19,1.25468,1.4726,-1.18868
4.2,1.2612,1.47558,-1.19781
4.21,1.26779,1.47857,-1.20701
4.22,1.27447,1.48156,-1.21627
4.23,1.28122,1.48456,-1.22559
4.24,1.28805,1.48756,-1.23498
4.25,1.29496,1.49057,-1.24444
4.26,1.30195,1.49359,-1.25396
4.27,1.30901,1.49662,-1.26354
4.28,1.31615,1.49965,-1.27319
4.29,1.32337,1.50268,-1.28291
4.3,1.33067,1.50573,-1.2927
4.31,1.33804,1.50878,-1.30255
4.32,1.34549,1.51183,-1.31248
4.33,1.35302,1.5149,-1.32247
4.34,1.36062,1.51797,-1.33253
4.35,1.3683,1.52104,-1.34266
4.36,1.37606,1.52412,-1.35286
4.37,1.38389,1.52721,-1.36314
4.38,1.3918,1.5303,-1.37348
4.39,1.39978,1.5334,-1.3839
4.4,1.40784,1.53651,-1.39439
4.41,1.41598,1.53962,-1.40495
4.42,1.42419,1.54274,-1.41559
4.43,1.43247,1.54586,-1.42629
4.44,1.44083,1.54899,-1.43708
4.45,1.44926,1.55213,-1.44794
4.46,1.45777,1.55527,-1.45887
4.47,1.46635,1.55841,-1.46988
4.48,1.47501,1.56157,-1.48097
4.49,1.48374,1.56472,-1.49213
4.5,1.49254,1.56789,-1.50337
4.51,1.50141,1.57105,-1.51469
4.52,1.51036,1.57423,-1.52609
4.53,1.51937,1.5774,-1.53757
4.54,1.52846,1.58059,-1.54913
4.55,1.53763,1.58378,-1.56076
4.56,1.54686,1.58697,-1.57248
4.57,1.55616,1.59017,-1.58428
4.58,1.56553,1.59337,-1.59616
4.59,1.57497,1.59658,-1.60812
4.6,1.58449,1.59979,-1.62017
4.61,1.59407,1.603,-1.6323
4.62,1.60372,1.60623,-1.64451
4.63,1.61344,1.60945,-1.65681
4.64,1.62322,1.61268,-1.66919
4.65,1.63308,1.61591,-1.68166
4.66,1.643,1.61915,-1.69421
4.67,1.65298,1.62239,-1.70685
4.68,1.66304,1.62564,-1.71958
4.69,1.67316,1.62889,-1.73239
4.7,1.68334,1.63214,-1.74529
4.71,1.69359,1.6354,-1.75828
4.72,1.7039,1.63865,-1.77136
4.73,1.71428,1.64192,-1.78453
4.74,1.72472,1.64518,-1.79779
4.75,1.73523,1.64845,-1.81113
4.76,1.74579,1.65173,-1.82457
4.77,1.75642,1.655,-1.8381
4.78,1.76711,1.65828,-1.85173
4.79,1.77786,1.66156,-1.86544
4.8,1.78867,1.66484,-1.87925
4.81,1.79954,1.66813,-1.89315
4.82,1.81047,1.67142,-1.90715
4.83,1.82146,1.67471,-1.92124
4.84,1.8325,1.678,-1.93543
4.85,1.84361,1.6813,-1.94971
4.86,1.85477,1.6846,-1.96408
4.87,1.86598,1.6879,-1.97856
4.88,1.87726,1.6912,-1.99313
4.89,1.88858,1.6945,-2.00779
4.9,1.89997,1.69781,-2.02256
4.91,1.9114,1.70111,-2.03742
4.92,1.92289,1.70442,-2.05239
4.93,1.93444,1.70773,-2.06745
4.94,1.94603,1.71104,-2.08261
4.95,1.95768,1.71436,-2.09788
4.96,1.96937,1.71767,-2.11324
4.97,1.98112,1.72098,-2.1287
4.98,1.99292,1.7243,-2.14427
4.99,2.00476,1.72762,-2.15994
5,2.01666,1.73093,-2.17571
