# MU=0.20000 KE=0.00000
# Core: D0=149.9992314000 I3=6.4939394023 S=23.0983417165 F'(D0)=0.000153720000
# t,psi,gamma,Ec
1.21,1.8723627840,0.5542964412,-0.0810216715
1.22,1.8780494564,0.5589049434,-0.0832948489
1.23,1.8836918805,0.5635109534,-0.0856084758
1.24,1.8892898250,0.5681144221,-0.0879628318
1.25,1.8948430676,0.5727153016,-0.0903581938
1.26,1.9003513960,0.5773135449,-0.0927948356
1.27,1.9058146069,0.5819091057,-0.0952730283
1.28,1.9112325069,0.5865019389,-0.0977930401
1.29,1.9166049117,0.5910920002,-0.1003551362
1.30,1.9219316469,0.5956792460,-0.1029595792
1.31,1.9272125475,0.6002636338,-0.1056066284
1.32,1.9324474579,0.6048451218,-0.1082965407
1.33,1.9376362322,0.6094236692,-0.1110295696
1.34,1.9427787341,0.6139992357,-0.1138059660
1.35,1.9478748367,0.6185717823,-0.1166259779
1.36,1.9529244229,0.6231412703,-0.1194898504
1.37,1.9579273848,0.6277076621,-0.1223978255
1.38,1.9628836245,0.6322709208,-0.1253501425
1.39,1.9677930534,0.6368310102,-0.1283470378
1.40,1.9726555926,0.6413878948,-0.1313887449
1.41,1.9774711726,0.6459415401,-0.1344754944
1.42,1.9822397338,0.6504919120,-0.1376075139
1.43,1.9869612258,0.6550389772,-0.1407850285
1.44,1.9916356080,0.6595827033,-0.1440082600
1.45,1.9962628492,0.6641230583,-0.1472774276
1.46,2.0008429280,0.6686600110,-0.1505927476
1.47,2.0053758323,0.6731935310,-0.1539544335
1.48,2.0098615596,0.6777235883,-0.1573626960
1.49,2.0143001169,0.6822501536,-0.1608177429
1.50,2.0186915208,0.6867731984,-0.1643197791
1.51,2.0230357973,0.6912926947,-0.1678690071
1.52,2.0273329820,0.6958086151,-0.1714656263
1.53,2.0315831199,0.7003209327,-0.1751098334
1.54,2.0357862654,0.7048296214,-0.1788018225
1.55,2.0399424823,0.7093346556,-0.1825417848
1.56,2.0440518441,0.7138360101,-0.1863299090
1.57,2.0481144334,0.7183336605,-0.1901663809
1.58,2.0521303423,0.7228275829,-0.1940513837
1.59,2.0560996723,0.7273177537,-0.1979850982
1.60,2.0600225341,0.7318041502,-0.2019677021
1.61,2.0638990478,0.7362867499,-0.2059993710
1.62,2.0677293428,0.7407655309,-0.2100802776
1.63,2.0715135577,0.7452404720,-0.2142105922
1.64,2.0752518405,0.7497115523,-0.2183904824
1.65,2.0789443481,0.7541787513,-0.2226201134
1.66,2.0825912469,0.7586420492,-0.2268996481
1.67,2.0861927122,0.7631014265,-0.2312292465
1.68,2.0897489286,0.7675568643,-0.2356090667
1.69,2.0932600897,0.7720083440,-0.2400392639
1.70,2.0967263981,0.7764558476,-0.2445199913
1.71,2.1001480656,0.7808993574,-0.2490513996
1.72,2.1035253127,0.7853388562,-0.2536336372
1.73,2.1068583692,0.7897743272,-0.2582668501
1.74,2.1101474735,0.7942057541,-0.2629511824
1.75,2.1133928729,0.7986331208,-0.2676867755
1.76,2.1165948239,0.8030564118,-0.2724737691
1.77,2.1197535913,0.8074756120,-0.2773123003
1.78,2.1228694490,0.8118907066,-0.2822025044
1.79,2.1259426794,0.8163016811,-0.2871445145
