# MU=0.16905 KE=0.00000
# Core: D0=149.9992314000 I3=6.4939394023 S=23.0983417165 F'(D0)=0.000129931830
# t,psi,gamma,Ec
1.21,1.9208685543,0.5564787711,-0.0858138920
1.22,1.9270290226,0.5611077590,-0.0882113836
1.23,1.9331459580,0.5657341942,-0.0906514897
1.24,1.9392191124,0.5703580280,-0.0931345088
1.25,1.9452482471,0.5749792125,-0.0956607363
1.26,1.9512331330,0.5795977008,-0.0982304649
1.27,1.9571735502,0.5842134470,-0.1008439841
1.28,1.9630692885,0.5888264062,-0.1035015808
1.29,1.9689201471,0.5934365342,-0.1062035388
1.30,1.9747259348,0.5980437880,-0.1089501390
1.31,1.9804864698,0.6026481253,-0.1117416594
1.32,1.9862015799,0.6072495047,-0.1145783751
1.33,1.9918711026,0.6118478857,-0.1174605580
1.34,1.9974948847,0.6164432287,-0.1203884774
1.35,2.0030727828,0.6210354949,-0.1233623995
1.36,2.0086046630,0.6256246463,-0.1263825875
1.37,2.0140904010,0.6302106456,-0.1294493017
1.38,2.0195298820,0.6347934566,-0.1325627995
1.39,2.0249230010,0.6393730436,-0.1357233353
1.40,2.0302696624,0.6439493717,-0.1389311605
1.41,2.0355697803,0.6485224069,-0.1421865238
1.42,2.0408232784,0.6530921158,-0.1454896708
1.43,2.0460300900,0.6576584659,-0.1488408440
1.44,2.0511901581,0.6622214251,-0.1522402833
1.45,2.0563034351,0.6667809624,-0.1556882256
1.46,2.0613698831,0.6713370472,-0.1591849048
1.47,2.0663894739,0.6758896497,-0.1627305520
1.48,2.0713621887,0.6804387407,-0.1663253954
1.49,2.0762880184,0.6849842917,-0.1699696602
1.50,2.0811669634,0.6895262748,-0.1736635689
1.51,2.0859990336,0.6940646629,-0.1774073412
1.52,2.0907842488,0.6985994292,-0.1812011938
1.53,2.0955226378,0.7031305479,-0.1850453406
1.54,2.1002142394,0.7076579934,-0.1889399929
1.55,2.1048591017,0.7121817409,-0.1928853589
1.56,2.1094572822,0.7167017663,-0.1968816444
1.57,2.1140088480,0.7212180457,-0.2009290520
1.58,2.1185138757,0.7257305562,-0.2050277821
1.59,2.1229724513,0.7302392750,-0.2091780318
1.60,2.1273846701,0.7347441803,-0.2133799961
1.61,2.1317506371,0.7392452503,-0.2176338668
1.62,2.1360704664,0.7437424642,-0.2219398335
1.63,2.1403442815,0.7482358014,-0.2262980828
1.64,2.1445722154,0.7527252420,-0.2307087989
1.65,2.1487544102,0.7572107663,-0.2351721634
1.66,2.1528910174,0.7616923555,-0.2396883553
1.67,2.1569821977,0.7661699909,-0.2442575511
1.68,2.1610281211,0.7706436544,-0.2488799249
1.69,2.1650289668,0.7751133283,-0.2535556480
1.70,2.1689849230,0.7795789956,-0.2582848896
1.71,2.1728961872,0.7840406394,-0.2630678163
1.72,2.1767629659,0.7884982434,-0.2679045925
1.73,2.1805854749,0.7929517916,-0.2727953799
1.74,2.1843639387,0.7974012687,-0.2777403382
1.75,2.1880985911,0.8018466594,-0.2827396246
1.76,2.1917896745,0.8062879492,-0.2877933941
1.77,2.1954374406,0.8107251237,-0.2929017996
1.78,2.1990421499,0.8151581690,-0.2980649915
1.79,2.2026040715,0.8195870716,-0.3032831184
1.80,2.2061234837,0.8240118183,-0.3085563264
1.81,2.2096006732,0.8284323964,-0.3138847598
1.82,2.2130359356,0.8328487935,-0.3192685607
1.83,2.2164295752,0.8372609974,-0.3247078691
1.84,2.2197819049,0.8416689964,-0.3302028233
1.85,2.2230932462,0.8460727792,-0.3357535593
1.86,2.2263639291,0.8504723346,-0.3413602115
1.87,2.2295942921,0.8548676521,-0.3470229121
1.88,2.2327846823,0.8592587212,-0.3527417919
1.89,2.2359354550,0.8636455318,-0.3585169795
1.90,2.2390469740,0.8680280742,-0.3643486020
1.91,2.2421196113,0.8724063389,-0.3702367847
1.92,2.2451537472,0.8767803167,-0.3761816512
1.93,2.2481497702,0.8811499990,-0.3821833235
1.94,2.2511080770,0.8855153770,-0.3882419222
1.95,2.2540290722,0.8898764425,-0.3943575660
1.96,2.2569131687,0.8942331877,-0.4005303724
1.97,2.2597607872,0.8985856046,-0.4067604575
1.98,2.2625723563,0.9029336861,-0.4130479356
1.99,2.2653483127,0.9072774248,-0.4193929201
2.00,2.2680891006,0.9116168140,-0.4257955227
2.01,2.2707951721,0.9159518470,-0.4322558543
2.02,2.2734669871,0.9202825174,-0.4387740240
2.03,2.2761050130,0.9246088193,-0.4453501402
2.04,2.2787097247,0.9289307466,-0.4519843100
2.05,2.2812816048,0.9332482939,-0.4586766393
2.06,2.2838211432,0.9375614558,-0.4654272333
2.07,2.2863288372,0.9418702272,-0.4722361959
2.08,2.2888051915,0.9461746032,-0.4791036302
2.09,2.2912507178,0.9504745792,-0.4860296384
2.10,2.2936659355,0.9547701507,-0.4930143219
2.11,2.2960513705,0.9590613137,-0.5000577813
2.12,2.2984075561,0.9633480641,-0.5071601165
2.13,2.3007350326,0.9676303983,-0.5143214267
2.14,2.3030343471,0.9719083128,-0.5215418105
2.15,2.3053060536,0.9761818042,-0.5288213658
2.16,2.3075507128,0.9804508694,-0.5361601902
2.17,2.3097688922,0.9847155058,-0.5435583806
2.18,2.3119611659,0.9889757105,-0.5510160337
2.19,2.3141281145,0.9932314811,-0.5585332456
2.20,2.3162703252,0.9974828155,-0.5661101124
2.21,2.3183883915,1.0017297116,-0.5737467297
2.22,2.3204829133,1.0059721675,-0.5814431929
2.23,2.3225544968,1.0102101816,-0.5891995973
2.24,2.3246037543,1.0144437524,-0.5970160383
