# MU=0.16905 KE=0.50000
# Core: D0=149.9992314000 I3=6.4939394023 S=23.0983417165 F'(D0)=0.000129931830
# t,psi,gamma,Ec
1.24,0.8124005333,0.0021484339,0.0033600832
1.25,0.8110379124,0.0021376918,0.0033774207
1.26,0.8096775412,0.0021270033,0.0033946426
1.27,0.8083194164,0.0021163683,0.0034117496
1.28,0.8069635343,0.0021057864,0.0034287425
1.29,0.8056098913,0.0020952575,0.0034456221
1.30,0.8042584841,0.0020847812,0.0034623891
1.31,0.8029093090,0.0020743573,0.0034790443
1.32,0.8015623626,0.0020639855,0.0034955885
1.33,0.8002176414,0.0020536656,0.0035120223
1.34,0.7988751418,0.0020433973,0.0035283465
1.35,0.7975348604,0.0020331803,0.0035445618
1.36,0.7961967936,0.0020230144,0.0035606690
1.37,0.7948609380,0.0020128993,0.0035766687
1.38,0.7935272900,0.0020028348,0.0035925618
1.39,0.7921958463,0.0019928207,0.0036083488
1.40,0.7908666034,0.0019828565,0.0036240305
1.41,0.7895395576,0.0019729423,0.0036396077
1.42,0.7882147057,0.0019630776,0.0036550810
1.43,0.7868920442,0.0019532622,0.0036704510
1.44,0.7855715695,0.0019434959,0.0036857186
1.45,0.7842532782,0.0019337784,0.0037008843
1.46,0.7829371669,0.0019241095,0.0037159489
1.47,0.7816232322,0.0019144889,0.0037309130
1.48,0.7803114706,0.0019049165,0.0037457772
1.49,0.7790018786,0.0018953919,0.0037605424
1.50,0.7776944529,0.0018859149,0.0037752090
1.51,0.7763891900,0.0018764854,0.0037897779
1.52,0.7750860865,0.0018671029,0.0038042495
1.53,0.7737851390,0.0018577674,0.0038186247
1.54,0.7724863441,0.0018484786,0.0038329039
1.55,0.7711896983,0.0018392362,0.0038470879
1.56,0.7698951983,0.0018300400,0.0038611773
1.57,0.7686028406,0.0018208898,0.0038751727
1.58,0.7673126220,0.0018117854,0.0038890748
1.59,0.7660245389,0.0018027264,0.0039028841
1.60,0.7647385881,0.0017937128,0.0039166013
1.61,0.7634547661,0.0017847442,0.0039302270
1.62,0.7621730695,0.0017758205,0.0039437618
1.63,0.7608934950,0.0017669414,0.0039572064
1.64,0.7596160393,0.0017581067,0.0039705612
1.65,0.7583406989,0.0017493162,0.0039838270
1.66,0.7570674705,0.0017405696,0.0039970043
1.67,0.7557963508,0.0017318668,0.0040100937
1.68,0.7545273364,0.0017232074,0.0040230958
1.69,0.7532604240,0.0017145914,0.0040360111
1.70,0.7519956102,0.0017060184,0.0040488403
1.71,0.7507328917,0.0016974883,0.0040615839
1.72,0.7494722652,0.0016890009,0.0040742425
1.73,0.7482137274,0.0016805559,0.0040868166
1.74,0.7469572748,0.0016721531,0.0040993069
1.75,0.7457029043,0.0016637923,0.0041117138
1.76,0.7444506125,0.0016554734,0.0041240380
1.77,0.7432003961,0.0016471960,0.0041362800
1.78,0.7419522518,0.0016389600,0.0041484403
1.79,0.7407061764,0.0016307652,0.0041605195
1.80,0.7394621664,0.0016226114,0.0041725181
1.81,0.7382202187,0.0016144984,0.0041844366
1.82,0.7369803299,0.0016064259,0.0041962757
1.83,0.7357424967,0.0015983937,0.0042080357
1.84,0.7345067160,0.0015904018,0.0042197173
1.85,0.7332729844,0.0015824498,0.0042313210
1.86,0.7320412987,0.0015745375,0.0042428473
1.87,0.7308116556,0.0015666648,0.0042542967
1.88,0.7295840518,0.0015588315,0.0042656696
1.89,0.7283584841,0.0015510373,0.0042769667
1.90,0.7271349493,0.0015432821,0.0042881885
1.91,0.7259134441,0.0015355657,0.0042993354
1.92,0.7246939652,0.0015278879,0.0043104079
1.93,0.7234765095,0.0015202485,0.0043214065
1.94,0.7222610737,0.0015126472,0.0043323318
1.95,0.7210476546,0.0015050840,0.0043431842
1.96,0.7198362490,0.0014975586,0.0043539641
1.97,0.7186268536,0.0014900708,0.0043646722
1.98,0.7174194652,0.0014826204,0.0043753088
1.99,0.7162140807,0.0014752073,0.0043858744
2.00,0.7150106969,0.0014678313,0.0043963696
2.01,0.7138093104,0.0014604921,0.0044067947
2.02,0.7126099183,0.0014531897,0.0044171503
2.03,0.7114125171,0.0014459237,0.0044274368
2.04,0.7102171039,0.0014386941,0.0044376546
2.05,0.7090236753,0.0014315006,0.0044478043
2.06,0.7078322283,0.0014243431,0.0044578863
2.07,0.7066427597,0.0014172214,0.0044679009
2.08,0.7054552662,0.0014101353,0.0044778488
2.09,0.7042697447,0.0014030846,0.0044877303
2.10,0.7030861922,0.0013960692,0.0044975459
2.11,0.7019046053,0.0013890889,0.0045072960
2.12,0.7007249810,0.0013821434,0.0045169810
2.13,0.6995473161,0.0013752327,0.0045266014
2.14,0.6983716076,0.0013683565,0.0045361576
2.15,0.6971978521,0.0013615148,0.0045456501
2.16,0.6960260467,0.0013547072,0.0045550792
2.17,0.6948561882,0.0013479336,0.0045644454
2.18,0.6936882735,0.0013411940,0.0045737491
2.19,0.6925222995,0.0013344880,0.0045829907
2.20,0.6913582630,0.0013278156,0.0045921707
2.21,0.6901961609,0.0013211765,0.0046012894
2.22,0.6890359902,0.0013145706,0.0046103472
2.23,0.6878777477,0.0013079978,0.0046193447
2.24,0.6867214303,0.0013014578,0.0046282821
2.25,0.6855670351,0.0012949505,0.0046371598
2.26,0.6844145587,0.0012884757,0.0046459783
2.27,0.6832639983,0.0012820333,0.0046547380
2.28,0.6821153507,0.0012756232,0.0046634392
2.29,0.6809686128,0.0012692451,0.0046720824
2.30,0.6798237816,0.0012628988,0.0046806679
2.31,0.6786808540,0.0012565843,0.0046891961
2.32,0.6775398269,0.0012503014,0.0046976674
2.33,0.6764006973,0.0012440499,0.0047060821
2.34,0.6752634622,0.0012378297,0.0047144407
2.35,0.6741281185,0.0012316405,0.0047227436
2.36,0.6729946631,0.0012254823,0.0047309910
2.37,0.6718630930,0.0012193549,0.0047391834
2.38,0.6707334052,0.0012132581,0.0047473211
2.39,0.6696055967,0.0012071918,0.0047554045
2.40,0.6684796644,0.0012011559,0.0047634340
2.41,0.6673556053,0.0011951501,0.0047714099
2.42,0.6662334164,0.0011891743,0.0047793326
2.43,0.6651130947,0.0011832285,0.0047872024
2.44,0.6639946372,0.0011773123,0.0047950197
2.45,0.6628780408,0.0011714258,0.0048027848
2.46,0.6617633026,0.0011655686,0.0048104981
2.47,0.6606504196,0.0011597408,0.0048181600
