file,MU,KE,D0,I3,S,Fprime_D0,max_psi,max_gamma,max_Ec,min_Ec,t_zero_cross,damping_slope,L_Ec_estimate
run_default.csv,0.16905,0.0,149.9992314,6.4939394023,23.0983417165,0.00012993183,4.5245029238,2.0291186066,0.0002439758,-6.0220483382,0.3029394862864606,-1.1724003294545415,0.6380366204680044
run_mu015_ke03.csv,0.15,0.3,149.9992314,6.4939394023,23.0983417165,0.00011529,4.6798972299,2.0325540997,0.0002252425,-4.4540920472,0.29331571822871105,-0.8865574720101815,0.5940452244724885
run_mu02.csv,0.2,0.0,149.9992314,6.4939394023,23.0983417165,0.00015372,4.2888807815,2.0228316875,0.0002654776,-5.6847595895,0.3158021587817546,-1.1086577496625671,0.6405197181470136
