# MU=0.8 KE=0
# Core: D0=149.999 I3=6.49394 S=23.0983 F'(D0)=0.00061488
# t,psi,gamma,Ec
1.33,1.16747,0.547321,-0.0134233
1.34,1.16712,0.551221,-0.0140323
1.35,1.16674,0.555116,-0.0146542
1.36,1.16631,0.559005,-0.0152892
1.37,1.16585,0.562889,-0.0159372
1.38,1.16536,0.566768,-0.0165985
1.39,1.16482,0.570641,-0.0172731
1.4,1.16425,0.574509,-0.0179609
1.41,1.16365,0.578372,-0.0186622
1.42,1.163,0.582229,-0.019377
1.43,1.16232,0.586081,-0.0201053
1.44,1.16161,0.589927,-0.0208473
1.45,1.16086,0.593767,-0.0216029
1.46,1.16007,0.597601,-0.0223723
1.47,1.15924,0.60143,-0.0231555
1.48,1.15838,0.605252,-0.0239525
1.49,1.15749,0.609069,-0.0247635
1.5,1.15656,0.61288,-0.0255885
1.51,1.15559,0.616685,-0.0264275
1.52,1.15459,0.620483,-0.0272806
1.53,1.15356,0.624276,-0.0281479
1.54,1.15249,0.628062,-0.0290294
1.55,1.15138,0.631842,-0.0299252
1.56,1.15024,0.635615,-0.0308353
1.57,1.14907,0.639383,-0.0317597
1.58,1.14786,0.643143,-0.0326986
1.59,1.14662,0.646897,-0.0336519
1.6,1.14535,0.650645,-0.0346198
1.61,1.14404,0.654386,-0.0356022
1.62,1.1427,0.65812,-0.0365992
1.63,1.14133,0.661847,-0.0376108
1.64,1.13992,0.665568,-0.0386371
1.65,1.13848,0.669282,-0.0396782
1.66,1.13701,0.672989,-0.040734
1.67,1.13551,0.676688,-0.0418046
1.68,1.13398,0.680381,-0.0428901
1.69,1.13242,0.684067,-0.0439904
1.7,1.13082,0.687745,-0.0451057
1.71,1.1292,0.691416,-0.0462359
1.72,1.12754,0.69508,-0.0473811
1.73,1.12586,0.698737,-0.0485414
1.74,1.12414,0.702386,-0.0497166
1.75,1.1224,0.706028,-0.050907
1.76,1.12063,0.709662,-0.0521125
1.77,1.11883,0.713289,-0.0533331
1.78,1.117,0.716908,-0.0545689
1.79,1.11514,0.72052,-0.0558199
1.8,1.11326,0.724123,-0.0570862
1.81,1.11135,0.727719,-0.0583676
1.82,1.10941,0.731307,-0.0596644
1.83,1.10745,0.734888,-0.0609765
1.84,1.10546,0.73846,-0.062304
1.85,1.10344,0.742024,-0.0636467
1.86,1.1014,0.74558,-0.0650049
1.87,1.09934,0.749128,-0.0663785
1.88,1.09725,0.752668,-0.0677675
1.89,1.09513,0.7562,-0.069172
1.9,1.09299,0.759723,-0.070592
1.91,1.09083,0.763239,-0.0720274
1.92,1.08865,0.766745,-0.0734784
1.93,1.08645,0.770244,-0.0749449
1.94,1.08422,0.773734,-0.076427
1.95,1.08197,0.777215,-0.0779247
1.96,1.0797,0.780688,-0.0794379
1.97,1.07741,0.784152,-0.0809668
1.98,1.0751,0.787608,-0.0825114
1.99,1.07277,0.791054,-0.0840716
2,1.07042,0.794492,-0.0856475
2.01,1.06806,0.797922,-0.0872391
2.02,1.06567,0.801342,-0.0888464
2.03,1.06327,0.804754,-0.0904694
2.04,1.06085,0.808156,-0.0921082
2.05,1.05841,0.81155,-0.0937628
