# MU=0.15000 KE=0.30000
# Core: D0=149.9992314000 I3=6.4939394023 S=23.0983417165 F'(D0)=0.000115290000
# t,psi,gamma,Ec
1.21,1.9514672138,0.5577889377,-0.0822375678
1.22,1.9579317806,0.5624298639,-0.0844666837
1.23,1.9643533576,0.5670681939,-0.0867331033
1.24,1.9707316865,0.5717038789,-0.0890370252
1.25,1.9770665182,0.5763368713,-0.0913786447
1.26,1.9833576130,0.5809671243,-0.0937581534
1.27,1.9896047408,0.5855945921,-0.0961757395
1.28,1.9958076808,0.5902192299,-0.0986315877
1.29,2.0019662219,0.5948409938,-0.1011258791
1.30,2.0080801623,0.5994598409,-0.1036587914
1.31,2.0141493099,0.6040757292,-0.1062304988
1.32,2.0201734819,0.6086886176,-0.1088411719
1.33,2.0261525054,0.6132984659,-0.1114909781
1.34,2.0320862168,0.6179052345,-0.1141800809
1.35,2.0379744622,0.6225088851,-0.1169086408
1.36,2.0438170971,0.6271093800,-0.1196768145
1.37,2.0496139869,0.6317066822,-0.1224847555
1.38,2.0553650064,0.6363007558,-0.1253326135
1.39,2.0610700400,0.6408915655,-0.1282205353
1.40,2.0667289818,0.6454790767,-0.1311486638
1.41,2.0723417356,0.6500632559,-0.1341171389
1.42,2.0779082145,0.6546440700,-0.1371260968
1.43,2.0834283416,0.6592214868,-0.1401756706
1.44,2.0889020495,0.6637954748,-0.1432659898
1.45,2.0943292802,0.6683660033,-0.1463971808
1.46,2.0997099857,0.6729330421,-0.1495693664
1.47,2.1050441273,0.6774965618,-0.1527826666
1.48,2.1103316760,0.6820565338,-0.1560371975
1.49,2.1155726126,0.6866129300,-0.1593330724
1.50,2.1207669273,0.6911657229,-0.1626704013
1.51,2.1259146199,0.6957148858,-0.1660492908
1.52,2.1310156998,0.7002603925,-0.1694698444
1.53,2.1360701861,0.7048022176,-0.1729321625
1.54,2.1410781073,0.7093403360,-0.1764363424
1.55,2.1460395015,0.7138747234,-0.1799824781
1.56,2.1509544164,0.7184053562,-0.1835706607
1.57,2.1558229092,0.7229322110,-0.1872009780
1.58,2.1606450466,0.7274552652,-0.1908735151
1.59,2.1654209047,0.7319744969,-0.1945883537
1.60,2.1701505692,0.7364898844,-0.1983455730
1.61,2.1748341351,0.7410014067,-0.2021452488
1.62,2.1794717071,0.7455090433,-0.2059874541
1.63,2.1840633991,0.7500127743,-0.2098722593
1.64,2.1886093344,0.7545125801,-0.2137997316
1.65,2.1931096457,0.7590084417,-0.2177699354
1.66,2.1975644751,0.7635003408,-0.2217829326
1.67,2.2019739739,0.7679882591,-0.2258387820
1.68,2.2063383027,0.7724721791,-0.2299375399
1.69,2.2106576315,0.7769520837,-0.2340792598
1.70,2.2149321395,0.7814279563,-0.2382639926
1.71,2.2191620149,0.7858997805,-0.2424917866
1.72,2.2233474554,0.7903675406,-0.2467626874
