"# Field-Coupled Primal Logic: alpha=0.535000, lambda=0.118750, field=10.00"
"# Lipschitz: 0.570457, Stable: True"
# Generated: 2025-11-26T06:11:34.220200

t,psi,error,Ec,velocity,F_field,distance
0.0,1.0,0.1,0.0,0.0,10.0,1.0
0.01,1.0993475,0.0985,0.010993474999999999,0.11,9.87551404746481,1.0062830199416763
0.02,1.197324140318398,0.09690815250000001,0.02296671640318398,0.2197486154746481,9.753357335082496,1.0125650477216688
0.03,1.29395434986847,0.09522628759718162,0.03590625990186868,0.32925543022865705,9.633490759995684,1.0188450913349674
0.04,1.389262147316603,0.09345620180932723,0.04979888137503471,0.4385298813272986,9.51587563026566,1.0251221590898847
0.05,1.4832711454990009,0.09159965865296399,0.06463159283002472,0.5475812591031212,9.400473680909156,1.0313952597646567
0.06,1.5760045559966058,0.08965838921420016,0.08039163838999078,0.6564187073672028,9.287247088355496,1.0376634027639664
0.07,1.6674851938522108,0.08763409271213256,0.09706649032851289,0.7650512238107238,9.176158483410974,1.0439255982753717
0.08,1.757735482414631,0.08552843705471969,0.1146438451526592,0.8734876605833556,9.067170962814203,1.0501808574256075
0.09,1.8467774582956484,0.08334305938703146,0.1331116197356157,0.9817367250356439,8.960248099462495,1.056428192436741
0.1,1.9346327764262679,0.08107956663180066,0.15245794749987837,1.0898069806132253,8.855353951386354,1.0626666167821521
0.11,2.0213227151996054,0.07873953602221538,0.17267117465187443,1.1977068478913515,8.752453069545634,1.068895145342319
0.12,2.106868181688481,0.0763245156269047,0.19373985646875924,1.3054446057388038,8.651510504518034,1.0751127945603784
0.13,2.1912897169265104,0.0738360248670817,0.21565275363802436,1.4130283926008689,8.55249181214727,1.0813185825974418
0.14,2.274607501242172,0.07127555502581978,0.23839882865044607,1.5204662078916067,8.45536305821548,1.087511529487638
0.15,2.3568413596359896,0.0686445697494485,0.26196724224680595,1.6277659134861833,8.360090822201318,1.0936906572928624
0.16,2.4380107671915945,0.06594450554106528,0.2863473499187219,1.7349352353045564,8.266642200182494,1.0998549902572035
