"# Field-Coupled Primal Logic: alpha=0.550000, lambda=0.112500, field=0.50"
"# Lipschitz: 0.466103, Stable: True"
# Generated: 2025-11-26T06:11:35.175625

t,psi,error,Ec,velocity,F_field,distance
0.0,1.0,0.1,0.0,0.0,0.5,1.0
0.01,1.004425,0.0985,0.01004425,0.015,0.4937757023732405,1.0062830199416763
0.02,1.0087745288987322,0.09700307500000001,0.02013199528898732,0.029982007023732403,0.4876678667541248,1.0125650477216688
0.03,1.0130498531337624,0.09550928509610128,0.030262493820324945,0.04494643098026097,0.48167453799978416,1.0188450913349674
0.04,1.0172522184970134,0.09401868881748701,0.04043501600529508,0.059893674891596436,0.475793781513283,1.0251221590898847
0.05,1.0213828503548332,0.09253134315490257,0.05064884450884341,0.0748241348916994,0.4700236840454578,1.0313952597646567
0.06,1.0254429538759906,0.09104730358877322,0.06090327404760332,0.08973820023570231,0.4643623544177748,1.0376634027639664
0.07,1.0294337142667962,0.08956662411695336,0.07119761119027128,0.10463625331863996,0.4588079241705488,1.0439255982753717
0.08,1.0333562970125947,0.0880893572821018,0.08153117416039722,0.1195186697030134,0.45335854814071014,1.0501808574256075
0.09,1.0372118481249142,0.0866155541986787,0.09190329264164636,0.13438581815454645,0.4480124049731248,1.056428192436741
0.1,1.0410014943935977,0.08514526457956038,0.10231330758558234,0.14923806068552684,0.4427676975693177,1.0626666167821521
0.11,1.0447263436432856,0.08367853676226898,0.1127605710220152,0.164075752605156,0.43762265347728174,1.068895145342319
0.12,1.0483874849936523,0.08221541773481435,0.12324444587195173,0.17889924257636167,0.4325755252259017,1.0751127945603784
0.13,1.051985989122835,0.08075595316114663,0.13376430576318007,0.19370887267855721,0.42762459060736346,1.0813185825974418
0.14,1.0555229085335316,0.07930018740621807,0.1443195348485154,0.2085049784758592,0.422768152910774,1.087511529487638
0.15,1.0589992778212733,0.07784816356065344,0.15490952762672813,0.22328788909030226,0.41800454111006596,1.0936906572928624
0.16,1.0624161139444086,0.0763999234650289,0.16553368876617222,0.23805792727961564,0.41333211000912473,1.0998549902572035
0.17,1.06577441649537,0.07495550773375935,0.17619143293112594,0.252815409519151,0.4087492403469324,1.1060035549610274
0.18,1.0690751679728177,0.07351495577859518,0.18688218461085412,0.267560646087574,0.4042543388653974,1.1121353804746905
0.19,1.0723193340542845,0.07207830583172939,0.19760537795139696,0.2822939411559562,0.399845838342399,1.1182494985118623
0.2,1.075507863868972,0.07064559496851645,0.20836045659008667,0.297015592879923,0.39552219759246476,1.1243449435824273
0.21,1.0786416902703708,0.0692168591298049,0.21914687349279038,0.3117258934945374,0.3912819014373665,1.1304207531449484
0.22,1.0817217301084043,0.0677921331438855,0.22996409079387442,0.3264251294116148,0.38712346064881475,1.1364759677586627
0.23,1.084748884500812,0.06637145074805767,0.24081157963888253,0.34111358131918695,0.38304541186531255,1.142509631234988
0.24,1.087724039103516,0.06495484460981657,0.25168882002991766,0.3557915242828482,0.3790463174851278,1.1485207907885175
0.25,1.0906480643797296,0.06354234634766397,0.26259530067371495,0.37045922784873464,0.3751247655372387,1.1545084971874737
0.26,1.093521815867587,0.062133986551545915,0.2735305188323908,0.3851169561479043,0.3712793695320065,1.1604718049036047
0.27,1.0963461344460896,0.0607297948029206,0.28449398017685174,0.39976496800190026,0.367508768293238,1.1664097722614932
0.28,1.0991218465991863,0.05932979969445991,0.2954851986428436,0.4144035170292935,0.3638116257732075,1.1723214615872586
0.29,1.1018497646778138,0.057934028849388426,0.30650369628962176,0.4290328517530175,0.3601866308521224,1.1782059393566253
0.3,1.1045306871597442,0.05654250894046367,0.3175490031612192,0.44365321570831684,0.35663249712343076,1.184062276342339
0.31,1.1071653989070964,0.05515526570860161,0.32862065715029015,0.4582648475511486,0.3531479626662957,1.1898895477609006
0.32,1.1097546714213862,0.053772323981151504,0.339718203864504,0.4728679811668825,0.34973178980647784,1.1956868334186013
0.33,1.1122992630959982,0.05239370768982436,0.350841196495464,0.48746284577916116,0.34638276486680103,1.2014532178568313
0.34,1.1147999194659772,0.05101943988827924,0.3619891956901238,0.5020496660587892,0.34309969790830475,1.2071877904966422
0.35000000000000003,1.1172573734550466,0.04964954276937187,0.3731617694246742,0.516628662232532,0.33988142246312086,1.2128896457825364
0.36,1.1196723456197724,0.048284037682069965,0.3843584928808719,0.5312000501917137,0.33672679526005045,1.2185578833254664
0.37,1.122045544390802,0.046922945148039845,0.39557894832477997,0.545764041600512,0.3336346959437558,1.2241916080450161
0.38,1.124377666311114,0.04556628487790884,0.4068227249878911,0.5603208440038575,0.33060402678842815,1.2297899303107438
0.39,1.1266693962712269,0.044214075787208186,0.4180894189506034,0.574870660934853,0.32763371240673445,1.2353519660826662
0.4,1.1289214077413188,0.04286633601200092,0.4293786330280166,0.5894136920216325,0.3247226994547982,1.2408768370508576
0.41000000000000003,1.1311343630002237,0.041523082924199595,0.44068997665801884,0.6039501330935937,0.32186995633391996,1.2463636707741457
0.42,1.1333089133612708,0.04018433314657837,0.45202306579163154,0.6184801762869351,0.319074472889695,1.2518116008178803
0.43,1.1354456993949424,0.03885010256748421,0.463377522785581,0.6330040101494447,0.3163352601091459,1.2572197668907532
0.44,1.1375453511483358,0.03752040635525185,0.4747529762970643,0.6475218197444856,0.3136513498164429,1.262587314980648
0.45,1.1396084883614122,0.036195258972327254,0.4861490611806784,0.6620337867541334,0.3110217943677457,1.2679133974894983
0.46,1.1416357206800307,0.034874674189104206,0.4975654183874787,0.676540089581425,0.3084456663456669,1.2731971733671346
0.47000000000000003,1.1436276478657623,0.03355866509747865,0.5090016948661363,0.6910409034516819,0.3059220582538179,1.278437808244094
0.48,1.1455848600024876,0.032247244124125496,0.5204575434661612,0.7055364005128777,0.3034500822118662,1.2836344745633783
0.49,1.147507937699786,0.03094042304350238,0.5319326228431591,0.7200267499350212,0.30102886965150394,1.2887863517111338
0.5,1.149397452293128,0.029638212990585083,0.5434265973660904,0.7345121180085341,0.2986575710136937,1.2938926261462367
0.51,1.1512539660408834,0.02834062447333903,0.5549391370264993,0.7489926682416024,0.29633535544753514,1.2989524915287594
0.52,1.1530780323181662,0.027047667384931452,0.566469917349681,0.7634685614564866,0.2940614105110616,1.3039651488473027
0.53,1.154870195807536,0.025759351015688627,0.5780186193077563,0.7779399558847788,0.2918349418742626,1.308929806545167
0.54,1.1566309926865814,0.024475684064802647,0.5895849292346221,0.7924070072615969,0.28965517302459143,1.3138456806453502
0.55,1.1583609508124113,0.02319667465179205,0.6011685387427462,0.8068698689187086,0.28752134497520704,1.3187119948743449
0.56,1.1600605899030842,0.02192233032772068,0.6127691446417771,0.8213286918765847,0.28543271597617004,1.3235279807847222
0.5700000000000001,1.1617304217160074,0.020652658086178992,0.6243864488589372,0.8357836249353773,0.28338856122879863,1.3282928778764782
0.58,1.163370950223339,0.01938766437403209,0.6360201583611707,0.8502348147648253,0.281388172603369,1.3330059337171258
0.59,1.1649826717844285,0.01812735510193859,0.647669985079015,0.8646824059930924,0.2794308583603291,1.3376664040605122
0.6,1.166566075315335,0.01687173565464447,0.6593356458321683,0.87912654129454,0.27751594287517817,1.3422735529643444
0.61,1.1681216424554577,0.015620810901055913,0.6710168622567229,0.8935673614764452,0.2756427663671494,1.3468266529064026
0.62,1.1696498477313226,0.014374585204095175,0.6827133607340361,0.9080050055646713,0.2738106846318191,1.3513249848994247
0.63,1.1711511587175656,0.013133062430343376,0.6944248723212118,0.9224396108883027,0.2720190687777522,1.3557678386046426
0.64,1.1726260361951528,0.011896245959474094,0.7061511326831633,0.9368713131632559,0.2702673049672827,1.3601545124439536
0.65,1.1740749343068833,0.010664138693481571,0.7178918820262321,0.9513002465748802,0.26855479416151506,1.3644843137107059
0.66,1.1754983007102173,0.009436743065707279,0.7296468650333343,0.9657265438595642,0.2668809518696221,1.3687565586790869
0.67,1.176896576727476,0.008214061049668524,0.741415830800609,0.9801503363853626,0.2652452079025053,1.372970572712091
0.68,1.1782701974934557,0.006996094167692706,0.7531985327755436,0.9945717542316624,0.2636470061308748,1.377125690368052
0.6900000000000001,1.1796195921005066,0.005782843499360786,0.7649947286965487,1.0089909262679058,0.2620858042477959,1.381221255505724
