"# Field-Coupled Primal Logic: alpha=0.555000, lambda=0.117500, field=10.00"
"# Lipschitz: 0.570716, Stable: True"
# Generated: 2025-11-26T06:11:35.798155

t,psi,error,Ec,velocity,F_field,distance
0.0,1.0,0.1,0.0,0.0,10.0,1.0
0.01,1.09938,0.0985,0.0109938,0.11,9.87551404746481,1.0062830199416763
0.02,1.197390043974648,0.09690812,0.022967700439746483,0.2197489404746481,9.753357335082496,1.0125650477216688
0.03,1.294054524089803,0.09522618935602535,0.03590824568064451,0.32925641426521957,9.633490759995684,1.0188450913349674
0.04,1.3893974229748802,0.09345600388515542,0.04980221991039331,0.43853186710607445,9.51587563026566,1.0251221590898847
0.05,1.483442318127104,0.09159932644275476,0.06463664309166435,0.5475845976384799,9.400473680909156,1.0313952597646567
0.06,1.5762123864741535,0.08965788749241388,0.08039876695640588,0.6564237576288425,9.287247088355496,1.0376634027639664
0.07,1.6677304090791842,0.08763338566847766,0.09707607104719773,0.765058352377139,9.176158483410974,1.0439255982753717
0.08,1.758018775973086,0.08552748833105608,0.11465625880692859,0.8734972413020407,9.067170962814203,1.0501808574256075
0.09,1.8470994910996972,0.08334183211342772,0.13312725371792555,0.9817491386899135,8.960248099462495,1.056428192436741
0.1,1.9349941773605095,0.08107802346176088,0.15247719549153066,1.0898226145955354,8.855353951386354,1.0626666167821521
0.11,2.021724081746187,0.07873763916709156,0.17269443630899253,1.197726095883004,8.752453069545634,1.068895145342319
0.12,2.1073100805429688,0.07632222688950992,0.1937675371144222,1.3054678673959224,8.651510504518034,1.0751127945603784
0.13,2.191772684602748,0.0738333056745194,0.21568526396044968,1.4130560732465325,8.55249181214727,1.0813185825974418
0.14,2.2751320446663064,0.07127236646154406,0.23843658440711274,1.5204987182140326,8.45536305821548,1.087511529487638
0.15,2.35740795672984,0.06864087258457002,0.26201066397441114,1.6278036692428504,8.360090822201318,1.0936906572928624
0.16,2.43861986744554,0.06594026026491734,0.28639686264886655,1.734978657032162,8.266642200182494,1.0998549902572035
0.17,2.5187868795475867,0.06317193909614721,0.3115847314443424,1.8420312777084422,8.174984806938648,1.1060035549610274
0.18,2.5979277572954884,0.060337292521118885,0.3375640090172973,1.9489689945733046,8.085086777307948,1.1121353804746905
0.19,2.6760609319272377,0.0574376783012178,0.36432461833656965,2.055799139919339,7.99691676684798,1.1182494985118623
0.2,2.753204507115275,0.05447442897778447,0.3918566634077224,2.162528916907091,7.910443951849295,1.1243449435824273
0.21,2.829376264418734,0.051448852325780274,0.4201504260519097,2.269165401496737,7.82563802874733,1.1304207531449484
