"# Field-Coupled Primal Logic: alpha=0.555000, lambda=0.117500, field=0.00"
"# Lipschitz: 0.134971, Stable: True"
# Generated: 2025-11-26T06:11:35.761058

t,psi,error,Ec,velocity,F_field,distance
0.0,1.0,0.1,0.0,0.0,0.0,1.0
0.01,0.99938,0.0985,0.0099938,0.01,0.0,1.0062830199416763
0.02,0.9987524035,0.09700812,0.019981324035,0.0199938,0.0,1.0125650477216688
0.03,0.9981172644918875,0.0955243269965,0.029962496679918876,0.029981324035,0.0,1.0188450913349674
0.04,0.9974746367209402,0.09404858809702561,0.03993724304712828,0.03996249667991887,0.0,1.0251221590898847
0.05,0.9968245736867316,0.09258087051981954,0.049905488783995595,0.04993724304712827,0.0,1.0313952597646567
0.06,0.9961671286440347,0.09112114159353371,0.059867160070435944,0.05990548878399559,0.0,1.0376634027639664
0.07,0.995502354603722,0.08966936875692201,0.06982218361647316,0.06986716007043593,0.0,1.0439255982753717
0.08,0.9948303043336636,0.08822551955853368,0.07977048665980979,0.07982218361647316,0.0,1.0501808574256075
0.09,0.9941510303596214,0.08678956165640735,0.08971199696340601,0.08977048665980979,0.0,1.056428192436741
0.1,0.9934645849661419,0.08536146281776569,0.09964664281306743,0.099711996963406,0.0,1.0626666167821521
0.11,0.9927710201974452,0.08394119091871072,0.10957435301504188,0.10964664281306742,0.0,1.068895145342319
0.12,0.992070387858312,0.08252871394391972,0.11949505689362501,0.11957435301504188,0.0,1.0751127945603784
0.13,0.9913627395149672,0.08112399998634182,0.1294086842887747,0.129495056893625,0.0,1.0813185825974418
0.14,0.9906481264959613,0.07972701724689514,0.1393151655537343,0.13940868428877468,0.0,1.087511529487638
0.15,0.9899265998930489,0.0783377340341647,0.14921443155266478,0.14931516555373428,0.0,1.0936906572928624
0.16,0.9891982105620641,0.07695611876410083,0.15910641365828543,0.15921443155266476,0.0,1.0998549902572035
0.17,0.9884630091237945,0.07558213995971826,0.16899104374952337,0.1691064136582854,0.0,1.1060035549610274
0.18,0.9877210459648504,0.07421576625079587,0.17886825420917188,0.17899104374952335,0.0,1.1121353804746905
0.19,0.9869723712385337,0.07285696637357704,0.18873797792155722,0.18886825420917186,0.0,1.1182494985118623
