"# Field-Coupled Primal Logic: alpha=0.535000, lambda=0.115000, field=0.10"
"# Lipschitz: 0.209757, Stable: True"
# Generated: 2025-11-26T06:11:34.058876

t,psi,error,Ec,velocity,F_field,distance
0.0,1.0,0.1,0.0,0.0,0.1,1.0
0.01,1.000385,0.0985,0.010003850000000002,0.011000000000000001,0.09875514047464809,1.0062830199416763
0.02,1.0007490836547466,0.097007115,0.020011340836547466,0.021991401404746484,0.09753357335082496,1.0125650477216688
0.03,1.001092546007302,0.09552133034134526,0.030022266296620484,0.0329742279748022,0.09633490759995685,1.0188450913349674
0.04,1.0014156777727192,0.09404263114363123,0.040036423074347675,0.04394850251087479,0.0951587563026566,1.0251221590898847
0.05,1.0017187653829256,0.09257100231014036,0.050053610728176934,0.054914246851628545,0.09400473680909156,1.0313952597646567
0.06,1.0020020910331855,0.09110642853320673,0.06007363163850879,0.06587148187354872,0.09287247088355496,1.0376634027639664
0.07,1.0022659327299854,0.08964889429950751,0.07009629096580865,0.07682022749271612,0.09176158483410976,1.0439255982753717
0.08,1.0025105643401895,0.08819838389527998,0.08012139660921054,0.08776050266835708,0.09067170962814203,1.0501808574256075
0.09,1.0027362556413195,0.0867548814114634,0.09014875916562373,0.0986923254080404,0.08960248099462496,1.056428192436741
0.1,1.0029432723728295,0.08531837074876476,0.10017819188935202,0.10961571277439985,0.08855353951386355,1.0626666167821521
0.11,1.0031318762882453,0.08388883562264811,0.11020951065223447,0.12053068089326678,0.08752453069545635,1.068895145342319
0.12,1.0033023252080495,0.08246625956824662,0.12024253390431497,0.1314372449631038,0.08651510504518034,1.0751127945603784
0.13,1.0034548730732022,0.08105062594519734,0.130277082635047,0.1423354192656361,0.0855249181214727,1.0813185825974418
0.14,1.0035897699991896,0.07964191794239815,0.1403129803350389,0.15322521717758283,0.0845536305821548,1.087511529487638
0.15,1.003707262330504,0.07824011858268697,0.15035005295834392,0.1641066511833963,0.0836009082220132,1.0936906572928624
