"# Field-Coupled Primal Logic: alpha=0.520000, lambda=0.120000, field=2.00"
"# Lipschitz: 0.546814, Stable: True"
# Generated: 2025-11-26T06:11:33.050370

t,psi,error,Ec,velocity,F_field,distance
0.0,1.0,0.1,0.0,0.0,2.0,1.0
0.01,1.01932,0.0985,0.0101932,0.03,1.975102809492962,1.0062830199416763
0.02,1.0383600440949297,0.09698818000000001,0.020576800440949297,0.059944228094929615,1.9506714670164993,1.0125650477216688
0.03,1.0571250652481807,0.09546487905590507,0.031148051093431106,0.08983454320604391,1.9266981519991366,1.0188450913349674
0.04,1.075619914060965,0.09393042959537737,0.041904250234040756,0.11967277537851707,1.903175126053132,1.0251221590898847
0.05,1.093849359658519,0.09238515753333952,0.05284274383062595,0.14946072577965805,1.8800947361818312,1.0313952597646567
0.06,1.1118180906079205,0.0908293823860143,0.06396092473670516,0.17920016673806155,1.8574494176710992,1.0376634027639664
0.07,1.1295307158643093,0.08926341738347632,0.07525623189534825,0.20889284182085174,1.835231696682195,1.0439255982753717
0.08,1.1469917657424882,0.08768756958069462,0.08672614955277314,0.23854046594631678,1.8134341925628406,1.0501808574256075
0.09,1.1642056929110451,0.08610213996704866,0.09836820648188359,0.2681447255293701,1.7920496198924991,1.056428192436741
0.1,1.1811768734063055,0.08450742357430237,0.11017997521594665,0.29770727865740554,1.7710707902772709,1.0626666167821521
0.11,1.1979096076635771,0.08290370958302455,0.12215907129258242,0.3272297552942413,1.750490613909127,1.068895145342319
0.12,1.2144081215633038,0.08129128142744585,0.13430315250821545,0.35671375750996837,1.7303021009036068,1.0751127945603784
0.13,1.2306765674898865,0.07967041689874532,0.1466099181831143,0.3861608597346375,1.7104983624294539,1.0813185825974418
0.14,1.2467190254010667,0.07804138824676171,0.15907710843712497,0.41557260903383086,1.691072611643096,1.087511529487638
0.15,1.2625395039058995,0.07640446228012683,0.17170250347618396,0.4449505254042725,1.6720181644402639,1.0936906572928624
0.16,1.2781419413494717,0.0747599004648203,0.1844839228896787,0.4742961020877341,1.653328440036499,1.0998549902572035
0.17,1.2935302069026344,0.07310795902114672,0.19741922495870504,0.5036108059015938,1.6349969613877295,1.1060035549610274
0.18,1.3087081016551385,0.07144888901913836,0.21050630597525644,0.5328960775844974,1.6170173554615896,1.1121353804746905
0.19,1.3236793597106677,0.06978293647238754,0.2237430995723631,0.5621533321556647,1.599383353369596,1.1182494985118623
0.2,1.3384476492823674,0.06811034243031493,0.23712757606518678,0.5913839592864673,1.582088790369859,1.1243449435824273
0.21,1.3530165737875648,0.06643134306888099,0.25065774180306244,0.6205893236829895,1.565127605749466,1.1304207531449484
0.22,1.3673896729404726,0.06474616977974902,0.26433163853246716,0.6497707654783598,1.548493842595259,1.1364759677586627
0.23,1.3815704238417514,0.0630550492579098,0.27814734277088465,0.6789296006337171,1.5321816474612502,1.142509631234988
0.24,1.395562242063895,0.061358203587778506,0.2921029651915236,0.7080671213467471,1.5161852699405112,1.1485207907885175
0.25,1.4093684827314799,0.05965585032777572,0.30619665001883845,0.7371845964667911,1.500499062148955,1.1545084971874737
0.26,1.422992441595396,0.057948202593405364,0.3204265744347924,0.7662832719155955,1.485117478128026,1.1604718049036047
0.27,1.4364373561002475,0.05623546913884294,0.33479094799579484,0.7953643711128298,1.470035073172952,1.1664097722614932
0.28,1.4497064064441787,0.05451785443704848,0.34928801206023663,0.8244290954055618,1.45524650309283,1.1723214615872586
0.29,1.4628027166304467,0.052795558758419056,0.3639160392265411,0.8534786245009318,1.4407465234084895,1.1782059393566253
0.3,1.4757293555101187,0.051068778247996514,0.3786733327816423,0.8825141169013212,1.426529988493723,1.184062276342339
0.31,1.4884893378153334,0.049337705001246415,0.39355822615979563,0.9115367103413596,1.412591850665183,1.1898895477609006
0.32,1.5010856251826132,0.04760252713842485,0.40856908241162176,0.9405475222261648,1.3989271592259114,1.1956868334186013
0.33,1.513521127165773,0.04586342887755011,0.4237042936832795,0.96954765007025,1.3855310594672041,1.2014532178568313
0.34,1.5257987022380093,0.04412059060599658,0.43896228070565957,0.9985381719365798,1.372398791633219,1.2071877904966422
0.35000000000000003,1.537921158782807,0.042374188950728586,0.45434149229348764,1.0275201468752921,1.3595256898524835,1.2128896457825364
0.36,1.5498912560733362,0.040624396847192136,0.469840404854221,1.056494615361645,1.3469071810402018,1.2185578833254664
0.37,1.5617117052400555,0.03887138360688284,0.48545752190662156,1.0854625997327805,1.334538783775023,1.2241916080450161
0.38,1.5733851702262736,0.037115314983608365,0.5011913736088843,1.1144251046229312,1.3224161071537126,1.2297899303107438
0.39,1.584914268731454,0.03535635323846405,0.5170405162961988,1.143383117396731,1.3105348496269378,1.2353519660826662
0.4,1.5963015731420855,0.033594657203540275,0.5330035320276197,1.172337608580315,1.2988907978191928,1.2408768370508576
0.41000000000000003,1.6075496114499654,0.03183038234438049,0.5490790281421194,1.2012895322899277,1.2874798253356798,1.2463636707741457
0.42,1.618660868157773,0.030063680821208617,0.5652656368236971,1.230239826657784,1.27629789155878,1.2518116008178803
0.43,1.6296377851718418,0.0282947015489448,0.5815620146754156,1.2591894142549496,1.2653410404365837,1.2572197668907532
0.44,1.640482762682056,0.026523590256028236,0.5979668423022362,1.2881392025110339,1.2546053992657715,1.262587314980648
0.45,1.6511981600288266,0.02475048954206604,0.6144788239025244,1.3170900841305122,1.2440871774709827,1.2679133974894983
0.46,1.6617862965571206,0.02297553893432688,0.6310966868680956,1.3460429375055103,1.2337826653826676,1.2731971733671346
0.47000000000000003,1.6722494524575373,0.021198874943098127,0.647819181392671,1.3749986271249082,1.2236882330152716,1.278437808244094
0.48,1.682589869594445,0.0194206311159251,0.6646450800886154,1.4039580039796362,1.2138003288474648,1.2836344745633783
0.49,1.6928097523212091,0.01764093809075103,0.6815731776118276,1.4329219059640552,1.2041154786060158,1.2887863517111338
0.5,1.7029112682825558,0.015859923647976067,0.6986022902946531,1.4618911582733274,1.194630284054775,1.2938926261462367
0.51,1.712896549204134,0.01407771276145363,0.7157312557866945,1.4908665737967006,1.1853414217901406,1.2989524915287594
0.52,1.72276769166935,0.012294427648442227,0.732958932703388,1.5198489535066433,1.1762456420442464,1.3039651488473027
0.53,1.732526757883561,0.010510187818530666,0.7502842002822235,1.5488390868437794,1.1673397674970505,1.308929806545167
0.54,1.7421757764257275,0.008725110121554452,0.7677059580464808,1.5778377520975855,1.1586206920983657,1.3138456806453502
0.55,1.7517167429876324,0.006939308794520952,0.7852231254763571,1.6068457167828265,1.1500853799008282,1.3187119948743449
0.56,1.761151621100787,0.005152895507560715,0.802834641687365,1.6358637380117111,1.1417308639046801,1.3235279807847222
0.5700000000000001,1.770482342851152,0.0033659794089221243,0.8205394651158765,1.664892562861766,1.1335542449151945,1.3282928778764782
0.58,1.779710809581809,0.0015786671690263614,0.8383365732116946,1.6939329287394294,1.125552690413476,1.3330059337171258
0.59,1.7888388925837246,-0.0002089369764005798,0.8562249621375319,1.7229855637393823,1.1177234334413164,1.3376664040605122
0.6,1.7978684337747601,-0.001996731184102302,0.8742036464752795,1.7520511869996327,1.1100637715007127,1.3422735529643444
0.61,1.8068012463670802,-0.0037846159619565507,0.8922716589389503,1.7811305090523875,1.1025710654685976,1.3468266529064026
