"# Field-Coupled Primal Logic: alpha=0.560000, lambda=0.111250, field=2.00"
"# Lipschitz: 0.544981, Stable: True"
# Generated: 2025-11-26T06:11:35.965732

t,psi,error,Ec,velocity,F_field,distance
0.0,1.0,0.1,0.0,0.0,2.0,1.0
0.01,1.0194475,0.0985,0.010194475000000001,0.03,1.975102809492962,1.0062830199416763
0.02,1.0386159927511798,0.0969880525,0.020580634927511797,0.05994550309492962,1.9506714670164993,1.0125650477216688
0.03,1.0575103802234092,0.09546449624474883,0.03115573872974589,0.08983837769260641,1.9266981519991366,1.0188450913349674
0.04,1.0761354826243725,0.09392966338330168,0.04191709355598962,0.11968046301483187,1.903175126053132,1.0251221590898847
0.05,1.0944960392754308,0.09238387958376079,0.05286205394874392,0.14947356910160692,1.8800947361818312,1.0313952597646567
0.06,1.1125967095192242,0.09082746414656656,0.06398802104393617,0.17921947685617953,1.8574494176710992,1.0376634027639664
0.07,1.1304420736558158,0.08926073011631451,0.07529244178049432,0.20891993812808277,1.835231696682195,1.0439255982753717
0.08,1.148036633904347,0.08768398439207713,0.08677280811953779,0.2385766758314629,1.8134341925628406,1.0501808574256075
0.09,1.1653848153873525,0.0860975278362124,0.09842665627341131,0.26819138409613474,1.7920496198924991,1.056428192436741
0.1,1.1824909671350419,0.08450165538164399,0.11025156594476172,0.29776572844893323,1.7710707902772709,1.0626666167821521
0.11,1.199359363107014,0.08289665613760072,0.12224515957583186,0.3273013460230564,1.750490613909127,1.068895145342319
0.12,1.2159942032290194,0.0812828134938057,0.13440510160812205,0.3567998457932178,1.7303021009036068,1.0751127945603784
0.13,1.2323996144425284,0.07966040522310765,0.14672909775254733,0.38626280883454406,1.7104983624294539,1.0813185825974418
0.14,1.248579651765005,0.07802970358254958,0.1592148942701974,0.4156917886032639,1.691072611643096,1.087511529487638
0.15,1.2645382993589096,0.07639097541287183,0.1718602772637865,0.4450883112373449,1.6720181644402639,1.0936906572928624
0.16,1.2802794716075876,0.07474448223644857,0.18466307197986237,0.4744538758753366,1.653328440036499,1.0998549902572035
0.17,1.2958070141963132,0.07309048035365874,0.1976211421218255,0.5037899549917775,1.6349969613877295,1.1060035549610274
0.18,1.3111247051968775,0.07142922093769413,0.21073238917379428,0.5330979947476179,1.6170173554615896,1.1121353804746905
0.19,1.326236256154213,0.06976095012780878,0.2239947517353364,0.5623794153542025,1.599383353369596,1.1182494985118623
0.2,1.341145313173653,0.06808590912101552,0.23740620486707292,0.5916356114494407,1.582088790369859,1.1243449435824273
0.21,1.3558554580075237,0.06640433426223678,0.25096475944714813,0.6208679524848758,1.565127605749466,1.1304207531449484
0.22,1.3703702091398535,0.06471645713291807,0.2646684615385467,0.6500777831224457,1.548493842595259,1.1364759677586627
0.23,1.3846930228680823,0.06302250463811362,0.2785153917672275,0.6792664236397968,1.5321816474612502,1.142509631234988
0.24,1.3988272943807274,0.061322699092054976,0.2925036647110348,0.7084351703430901,1.5161852699405112,1.1485207907885175
0.25,1.4127763588300495,0.059617258302213975,0.30663142829933526,0.7375852959863025,1.500499062148955,1.1545084971874737
0.26,1.426543492398833,0.057906395651872854,0.3208968632233236,0.7667180501960925,1.485117478128026,1.1604718049036047
0.27,1.44013191336047,0.056190320181214656,0.3352981823569283,0.7958346599013612,1.470035073172952,1.1664097722614932
0.28,1.4535447831316008,0.05446923666694811,0.3498336301882443,0.8249363297666954,1.45524650309283,1.1723214615872586
0.29,1.46678520731663,0.052743345700481774,0.3645014822614106,0.8540242426289397,1.4407465234084895,1.1782059393566253
0.3,1.479856236743498,0.05101284376466274,0.3793000446288456,0.8830995599361909,1.426529988493723,1.184062276342339
0.31,1.4927608684901401,0.049277923309095924,0.394227653313747,0.9121634221885632,1.412591850665183,1.1898895477609006
0.32,1.5055020469011275,0.047538772824060306,0.4092826737827583,0.9412169493801164,1.3989271592259114,1.1956868334186013
0.33,1.518082664594024,0.04579557691303888,0.4244635004286985,0.9702612414413867,1.3855310594672041,1.2014532178568313
0.34,1.5305055634550482,0.04404851636387966,0.439768556063249,0.999297378681999,1.372398791633219,1.2071877904966422
0.35000000000000003,1.5427735356236743,0.04229776821860521,0.45519629141948575,1.0283264222328816,1.3595256898524835,1.2128896457825364
0.36,1.554889324465842,0.04054350584188851,0.47074518466414417,1.0573494144876432,1.3469071810402018,1.2185578833254664
0.37,1.5668556255354902,0.038785898988213226,0.48641374091949907,1.0863673795427036,1.334538783775023,1.2241916080450161
0.38,1.5786750875241662,0.03702511386773667,0.5022004917947407,1.1153813236358088,1.3224161071537126,1.2297899303107438
0.39,1.590350313198492,0.03526131321087382,0.5181039949267257,1.1443922355825875,1.3105348496269378,1.2353519660826662
0.4,1.601883860325309,0.03349465633162096,0.5341228335299787,1.1734010872108418,1.2988907978191928,1.2408768370508576
0.41000000000000003,1.613278242584346,0.03172529918963754,0.5502556159558222,1.202408833792287,1.2874798253356798,1.2463636707741457
0.42,1.6245359304682896,0.029953394451105005,0.566500975260505,1.2314164144714872,1.27629789155878,1.2518116008178803
0.43,1.6356593521701577,0.02817909154838119,0.5828575687822066,1.2604247526917578,1.2653410404365837,1.2572197668907532
